overall_pick,round,player,team,positions,drafted_by,slot
100,9,Jakob Poeltl,TOR,C,David,4
101,9,Derik Queen,NOP,C/PF,Emils,5
102,9,Kyshawn George,WAS,SF/SG/PF,jacespedes,6
103,9,Mark Williams,PHX,C,Dominic,7
104,9,Nic Claxton,CHI,C,Angel,8
105,9,Isaiah Hartenstein,OKC,C,Mark P,9
106,9,John Collins,DET,PF/C,Mantas,10
107,9,Jabari Smith Jr.,HOU,PF/C,Adam,11
108,9,Neemias Queta,BOS,C,Alex,12
109,10,Wendell Carter Jr.,ORL,C,Alex,12
110,10,Reed Sheppard,HOU,PG/SG,Adam,11
111,10,Jalen Green,PHX,SG/SF,Mantas,10
112,10,Kristaps Porzingis,GSW,C,Mark P,9
113,10,Fred VanVleet,HOU,PG,Angel,8
114,10,Peyton Watson,CLE,SF/PF,Dominic,7
115,10,CJ McCollum,ATL,SG/PG,jacespedes,6
116,10,Jaime Jaquez Jr.,MIL,SF/SG/PF,Emils,5
117,10,Tari Eason,HOU,SF/PF/SG,David,4
118,10,Keegan Murray,SAC,SF/PF,berkay,3
119,10,Sandro Mamukelashvili,LAL,PF/C,Deether,2
120,10,Andrew Wiggins,MIA,SG/SF/PF,Manoof,1
121,11,Kevin Porter Jr.,MIL,PG/SG,Manoof,1
122,11,Brandin Podziemski,GSW,SG/PG,Deether,2
123,11,Cedric Coward,MEM,SG/SF,berkay,3
124,11,Aaron Gordon,DEN,PF/C,David,4
125,11,Collin Murray-Boyles,TOR,PF/C,Emils,5
126,11,RJ Barrett,TOR,SF/PF/SG,jacespedes,6
127,11,Jusuf Nurkic,UTA,C,Dominic,7
128,11,Zach LaVine,SAC,PG/SG/SF,Angel,8
129,11,Maxime Raynaud,SAC,C,Mark P,9
130,11,Saddiq Bey,NOP,PF/SF,Mantas,10
131,11,Egor Demin,BKN,PG/SG,Adam,11
132,11,Darius Acuff Jr.,SAC,PG,Alex,12
133,12,Toumani Camara,POR,SF/PF,Alex,12
134,12,DeMar DeRozan,DEN,SF/PF,Adam,11
135,12,Shaedon Sharpe,POR,PG/SG,Mantas,10
136,12,Bobby Portis,MIA,PF/C,Mark P,9
137,12,Jimmy Butler III,GSW,SF/PF,Angel,8
138,12,Ajay Mitchell,OKC,PG/SG,Dominic,7
139,12,Jrue Holiday,POR,PG/SG,jacespedes,6
140,12,Isaiah Stewart,MEM,C/PF,Emils,5
141,12,P.J. Washington,DAL,PF/C,David,4
142,12,Yaxel Lendeborg,GSW,PF,berkay,3
143,12,Andrew Nembhard,IND,SG/PG,Deether,2
144,12,Jeremiah Fears,NOP,PG/SG,Manoof,1
145,13,Paul Reed,DET,C/PF,Manoof,1
146,13,Collin Gillespie,PHX,PG/SG,Deether,2
147,13,Daniel Gafford,DAL,C,berkay,3
148,13,Herbert Jones,NOP,SG/SF,David,4
149,13,Morez Johnson Jr.,DAL,PF,Emils,5
150,13,Quentin Grimes,LAL,SG/SF,jacespedes,6
151,13,Anthony Black,ORL,PG/SG/SF,Dominic,7
152,13,Christian Braun,DEN,SG/SF/PF,Angel,8
153,13,Robert Williams III,POR,C,Mark P,9
154,13,Jerami Grant,MEM,PF/SF,Mantas,10
155,13,Davion Mitchell,MIA,PG,Adam,11
156,13,Brook Lopez,LAC,C,Alex,12
