player,team,pos,xrank,adp
RJ Barrett,TOR,"SG,SF,PF",131,111.1
Wendell Carter Jr.,ORL,C,141,111.5
Toumani Camara,POR,"SF,PF",101,112.0
Neemias Queta,BOS,C,118,112.6
Aaron Gordon,DEN,"PF,C",119,112.6
Cameron Johnson,DEN,"SF,PF",172,113.2
Ayo Dosunmu,MIN,"PG,SG",110,113.4
Jusuf Nurkić,UTA,C,106,113.8
Ajay Mitchell,OKC,"PG,SG",130,114.3
Nikola Vučević,ORL,C,144,114.6
Dillon Brooks,PHX,"SF,PF",150,114.7
Tobias Harris,SAS,PF,148,115.0
Bobby Portis,MIA,"PF,C",140,115.4
Isaiah Stewart,MEM,"PF,C",168,115.7
Andrew Nembhard,IND,"PG,SG",105,115.8
Collin Murray-Boyles,TOR,"PF,C",111,115.9
Peyton Watson,CLE,"SF,PF",108,116.1
Brandin Podziemski,GSW,"PG,SG",116,116.1
Kyle Filipowski,UTA,"PF,C",176,116.1
Brayden Burries,MIL,SG,188,116.2
Kyshawn George,WAS,"SG,SF,PF",120,116.3
Yaxel Lendeborg,GSW,PF,124,116.4
Devin Vassell,SAS,"SG,SF",122,116.6
Deandre Ayton,WAS,C,183,116.6
DeMar DeRozan,DEN,"SF,PF",251,116.6
Jonathan Kuminga,MIN,"SF,PF",363,116.8
Kelly Oubre Jr.,IND,"SF,PF",157,117.0
John Collins,DET,"PF,C",112,117.1
Grayson Allen,CHA,"SG,SF",160,117.1
Kevin Porter Jr.,MIL,"PG,SG",121,117.3
Morez Johnson Jr.,DAL,PF,159,117.3
Mikel Brown Jr.,BKN,PG,201,117.3
Jimmy Butler III,GSW,"SF,PF",134,117.4
Jeremiah Fears,NOP,"PG,SG",155,117.4
Shaedon Sharpe,POR,"PG,SG",213,117.6
Sandro Mamukelashvili,LAL,"PF,C",123,117.7
Cason Wallace,OKC,"PG,SG,SF",126,117.7
P.J. Washington,DAL,"PF,C",151,117.8
Bennedict Mathurin,NOP,"SG,SF",162,118.0
Jrue Holiday,POR,"PG,SG",132,118.3
Naji Marshall,DAL,"SG,SF,PF",210,118.4
Jerami Grant,MEM,"SF,PF",163,118.5
Kyle Kuzma,MIL,"SF,PF",180,118.5
Maxime Raynaud,SAC,C,135,118.7
Ace Bailey,UTA,"SF,PF",152,118.7
Collin Sexton,LAL,"PG,SG",161,118.7
Anthony Black,ORL,"PG,SG,SF",153,118.8
Keaton Wagler,LAC,SG,206,119.0
Davion Mitchell,MIA,PG,109,119.1
Fred VanVleet,HOU,PG,136,119.5
Paul Reed,DET,"PF,C",138,119.9
Reed Sheppard,HOU,"PG,SG",117,120.2
Khaman Maluach,PHX,C,115,120.5
Egor Dëmin,BKN,"PG,SG",164,120.5
Keegan Murray,SAC,"SF,PF",128,120.7
Tari Eason,HOU,"SG,SF,PF",139,120.8
Christian Braun,DEN,"SG,SF,PF",143,120.9
Collin Gillespie,PHX,"PG,SG",137,121.3
Saddiq Bey,NOP,"SF,PF",146,121.5
Jakob Poeltl,TOR,C,114,121.6
Quentin Grimes,LAL,"SG,SF",158,122.0
Tre Jones,CHI,"PG,SG",129,
Herbert Jones,NOP,"SG,SF",149,
Daniss Jenkins,DET,"PG,SG",154,
Yves Missi,NOP,C,166,
Sam Hauser,BOS,"SF,PF",167,
Scoot Henderson,POR,PG,169,
Oso Ighodaro,PHX,C,171,
Santi Aldama,DAL,PF,173,
Jordan Poole,NOP,"PG,SG",174,
Dereck Lively II,DAL,C,175,
De'Andre Hunter,SAC,"SF,PF",177,
Max Strus,LAC,"SF,PF",184,
Jaylen Wells,MEM,"SG,SF",185,
De'Anthony Melton,GSW,"PG,SG",189,
Bilal Coulibaly,WAS,"SG,SF",190,
Scotty Pippen Jr.,MEM,PG,191,
Cam Whitmore,DEN,"SF,PF",193,
Obi Toppin,IND,"SF,PF",194,
Miles McBride,NYK,"PG,SG",195,
Luguentz Dort,ATL,"SG,SF",196,
T.J. McConnell,IND,PG,197,
Keldon Johnson,SAS,"SF,PF",198,
Jalen Smith,CHI,"PF,C",199,
Royce O'Neale,CHA,"SF,PF",202,
Isaiah Joe,DET,"SG,SF",203,
Robert Williams III,POR,C,204,
Keon Ellis,BKN,"SG,SF",207,
Malik Monk,SAC,"PG,SG",208,
Jay Huff,IND,C,209,
Kris Dunn,LAC,"PG,SG",211,
Max Christie,DAL,"SG,SF",212,
Ryan Kalkbrenner,CHA,C,214,
Derrick Jones Jr.,LAC,"SF,PF",215,
Donte DiVincenzo,MIN,"SG,SF",216,
Noah Clowney,BKN,"PF,C",217,
Luke Kornet,SAS,C,219,
Tristan da Silva,ORL,"SF,PF",220,
Tim Hardaway Jr.,MIA,"SG,SF",221,
Tre Johnson,WAS,"PG,SG,SF",222,
Jake LaRavia,LAL,"SF,PF",223,
Dylan Cardwell,SAC,"PF,C",224,
Jaxson Hayes,UTA,C,225,
Zaccharie Risacher,DAL,"SF,PF",226,
Ronald Holland II,DET,"SF,PF",227,
Kevin Huerter,DET,"SG,SF",228,
Sam Merrill,CLE,"SG,SF",229,
Tony Bradley,ATL,C,230,
Isaiah Jackson,LAC,C,231,
Jaylon Tyson,CLE,"SG,SF,PF",232,
Jarace Walker,IND,"SF,PF",233,
Ja'Kobe Walter,TOR,"PG,SG",234,
Jordan Goodwin,PHX,"PG,SG",235,
Jaylin Williams,OKC,"PF,C",236,
Khris Middleton,WAS,"SF,PF",237,
Quinten Post,MEM,C,239,
Hannes Steinbach,CHA,PF,240,
Moritz Wagner,BKN,C,241,
Kobe Sanders,LAC,"SG,SF",242,
Taylor Hendricks,MEM,"PF,C",244,
Dennis Schröder,CHA,"PG,SG",245,
Cam Spencer,MEM,"PG,SG",246,
Karlo Matković,NOP,"PF,C",247,
Baylor Scheierman,BOS,"SG,SF",249,
Gui Santos,GSW,"SF,PF",250,
Justin Champagnie,WAS,"SF,PF",253,
Javonte Green,DET,"SG,SF",254,
Harrison Barnes,SAS,PF,255,
Brice Sensabaugh,UTA,"SG,SF,PF",256,
Moses Moody,GSW,"SG,SF,PF",257,
Russell Westbrook,SAC,"PG,SG",259,
Goga Bitadze,ORL,C,260,
Precious Achiuwa,SAC,"PF,C",261,
Bub Carrington,WAS,"PG,SG",262,
Gary Payton II,GSW,"SG,SF",263,
Bruce Brown,NYK,"PG,SG",264,
Ziaire Williams,LAL,"SG,SF",265,
Dominick Barlow,PHI,"PF,C",266,
Jamal Shead,TOR,PG,267,
John Konchar,NYK,"SG,SF",268,
Jose Alvarado,NYK,PG,269,
Jonas Valančiūnas,DEN,C,270,
Marcus Smart,HOU,"PG,SG",271,
Dru Smith,MIA,"PG,SG",272,
Pelle Larsson,MIA,"SG,SF",273,
Vít Krejčí,POR,"SG,SF",274,
Jock Landale,ATL,C,275,
Dean Wade,PHI,"SF,PF",276,
Isaac Okoro,CHI,"SG,SF",277,
Brandon Williams,GSW,PG,278,
Ryan Dunn,PHX,"SF,PF",279,
Nicolas Batum,LAC,"SF,PF",280,
Isaiah Collier,UTA,"PG,SG",281,
Mouhamed Gueye,ATL,"PF,C",282,
Simone Fontecchio,MIA,"SF,PF",283,
Kentavious Caldwell-Pope,PHI,"SG,SF",284,
Marvin Bagley III,DEN,"PF,C",285,
Terance Mann,BKN,"SG,SF",286,
Clint Capela,HOU,C,287,
Will Richard,GSW,"SG,SF",288,
Luka Garza,BOS,C,289,
Jordan Walsh,BOS,"SF,PF",290,
Bones Hyland,MIN,"PG,SG",291,
Craig Porter Jr.,CLE,"PG,SG",292,
Caris LeVert,MIL,"SG,SF",293,
Sion James,CHA,"SG,SF",294,
Mike Conley,BOS,PG,295,
Ben Sheppard,IND,"SG,SF",296,
