player,team,pos,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov,adp,htag_rank,htag_total
Kingston Flemings,ATL,PG,50.0,13.8,0.444,4.4,0.833,1.1,0.4,5.2,1.3,1.7,0.5,0.1,0.6,,358.0,-6.79
Jase Richardson,ORL,SG,58.0,14.4,0.474,4.7,0.719,1.1,0.7,5.9,1.6,1.4,0.5,0.1,0.6,,359.0,-6.84
Kevon Looney,LAL,C,20.0,10.4,0.498,2.5,0.582,0.8,0.0,2.9,4.2,1.1,0.4,0.3,0.4,,360.0,-6.85
Gradey Dick,LAC,"SG,SF",68.0,12.8,0.412,5.0,0.864,1.2,0.8,6.0,1.7,0.7,0.5,0.1,0.6,,361.0,-6.87
Micah Peavy,NO,"SG,SF",60.0,15.6,0.386,4.7,0.76,0.5,0.5,4.5,2.0,1.1,0.7,0.2,0.4,,362.0,-6.89
Gary Trent Jr.,MIL,"SG,SF",40.0,14.0,0.412,4.9,0.823,0.6,1.3,5.9,1.0,0.7,0.5,0.0,0.4,,363.0,-6.94
Jericho Sims,MIL,C,35.0,12.4,0.739,1.7,0.611,0.5,0.0,2.8,3.6,0.9,0.2,0.2,0.7,,364.0,-7.05
John Konchar,UTA,"SG,SF",40.0,8.1,0.465,1.4,0.76,0.3,0.3,1.8,1.9,0.8,0.6,0.3,0.3,,365.0,-7.13
Ron Harper Jr.,BOS,SF,40.0,10.4,0.4,3.7,0.842,0.2,0.9,4.0,1.7,0.8,0.3,0.3,0.3,,366.0,-7.17
Olivier-Maxence Prosper,MEM,"PF,C",30.0,10.4,0.501,3.5,0.709,1.3,0.5,4.9,2.1,0.6,0.4,0.1,0.4,,367.0,-7.18
Trayce Jackson-Davis,TOR,C,44.0,10.4,0.575,3.1,0.556,1.3,0.0,4.2,3.3,1.0,0.3,0.5,0.5,,368.0,-7.2
Hannes Steinbach,CHA,"PF,C",50.0,10.4,0.532,3.0,0.756,1.2,0.1,4.2,2.7,0.4,0.3,0.3,0.5,129.0,369.0,-7.3
Ben Saraf,BKN,SG,50.0,12.8,0.396,4.3,0.831,1.2,0.3,4.7,1.3,2.1,0.5,0.1,1.4,,370.0,-7.32
Tyler Kolek,NY,PG,40.0,10.4,0.41,3.4,0.737,0.4,0.6,3.6,1.3,2.5,0.4,0.1,0.8,,371.0,-7.34
Pat Spencer,PHO,"PG,SG",20.0,10.4,0.421,3.8,0.765,0.5,0.5,4.1,1.5,2.0,0.4,0.1,0.7,,372.0,-7.36
Micah Potter,POR,"PF,C",40.0,8.8,0.487,2.4,0.836,0.7,0.6,3.4,2.2,0.6,0.2,0.2,0.4,,373.0,-7.41
Johnny Furphy,IND,"SG,SF",40.0,12.1,0.438,2.9,0.618,0.7,0.5,3.4,2.7,0.7,0.5,0.2,0.5,,374.0,-7.45
Cody Williams,UTA,"SG,SF",67.0,16.1,0.419,4.6,0.708,1.0,0.4,5.0,1.9,1.2,0.5,0.3,0.7,,375.0,-7.49
Jamal Cain,ORL,"SG,SF",20.0,10.4,0.458,3.3,0.765,1.0,0.6,4.4,1.7,0.5,0.4,0.1,0.4,,376.0,-7.51
Jordan Hawkins,NO,"SG,SF",40.0,13.5,0.37,5.5,0.824,0.9,1.1,5.8,1.7,0.7,0.3,0.2,0.6,,377.0,-7.54
Sergio de Larrea,DAL,"PG,SG",20.0,10.8,0.438,2.7,0.811,1.2,0.6,3.9,1.2,1.5,0.3,0.1,0.8,,378.0,-7.56
Ousmane Dieng,MIL,"SF,PF,C",40.0,10.8,0.425,3.8,0.705,0.4,0.6,4.2,1.9,1.2,0.3,0.2,0.7,,379.0,-7.57
Branden Carlson,POR,C,40.0,6.5,0.498,2.5,0.667,0.4,0.5,3.3,1.6,0.4,0.1,0.4,0.2,,380.0,-7.59
Tre Mann,WAS,"PG,SG",40.0,10.4,0.385,4.9,0.882,0.5,0.8,5.0,1.4,1.3,0.3,0.1,0.8,,381.0,-7.64
Sidy Cissoko,POR,"SF,PF",60.0,14.4,0.401,3.4,0.626,0.9,0.6,3.9,1.8,1.2,0.5,0.2,0.8,,382.0,-7.68
Meleek Thomas,CLE,SG,30.0,10.4,0.438,3.2,0.865,0.7,0.6,4.0,1.0,0.6,0.4,0.1,0.3,,383.0,-7.7
Corey Kispert,ATL,"SF,PF",40.0,10.1,0.458,3.7,0.829,0.7,0.8,4.7,1.2,0.7,0.2,0.1,0.4,,384.0,-7.72
Ariel Hukporti,PHI,C,40.0,8.4,0.591,1.3,0.691,0.6,0.0,2.0,2.5,0.5,0.1,0.5,0.6,,385.0,-7.72
Myron Gardner,MIA,,30.0,6.4,0.479,1.9,0.732,0.4,0.4,2.6,1.9,0.7,0.3,0.1,0.3,,386.0,-7.76
Dalton Knecht,LAL,"SG,SF",50.0,10.2,0.459,3.8,0.755,0.5,0.8,4.7,1.5,0.4,0.2,0.1,0.3,,387.0,-7.81
Nikola Topic,OKC,PG,20.0,12.2,0.43,3.9,0.395,0.4,0.5,4.0,1.5,3.4,0.4,0.0,1.9,,388.0,-7.85
Tidjane Salaün,CHA,PF,40.0,12.4,0.386,3.5,0.696,0.9,0.7,4.0,3.0,0.7,0.3,0.1,0.6,,389.0,-7.88
Asa Newell,ATL,PF,34.0,7.4,0.538,2.5,0.558,0.4,0.4,3.4,1.4,0.4,0.2,0.2,0.3,,390.0,-8.01
Dorian Finney-Smith,CHA,"SF,PF",40.0,10.4,0.422,2.4,0.696,0.2,0.7,2.9,1.5,0.5,0.3,0.1,0.3,,391.0,-8.01
Jabari Walker,PHI,"PF,C",20.0,8.1,0.485,2.4,0.72,0.8,0.3,3.2,2.2,0.4,0.3,0.1,0.3,,392.0,-8.05
Malevy Leons,GS,,20.0,8.4,0.431,2.1,0.727,0.7,0.1,2.4,1.6,0.7,0.4,0.3,0.4,,393.0,-8.07
Jamison Battle,TOR,,50.0,8.5,0.454,2.7,0.778,0.2,0.8,3.4,1.4,0.4,0.1,0.1,0.3,,394.0,-8.2
Caleb Martin,DAL,"SF,PF",40.0,10.4,0.432,2.5,0.617,0.8,0.3,3.0,1.6,0.9,0.4,0.2,0.5,,395.0,-8.23
L.J. Cryer,GS,,20.0,8.4,0.4,3.4,0.891,0.6,1.1,4.3,0.8,0.5,0.1,0.0,0.4,,396.0,-8.24
Bruce Thornton,HOU,"PG,SG",30.0,8.4,0.476,2.5,0.826,0.9,0.3,3.4,0.9,0.7,0.2,0.1,0.2,,397.0,-8.38
Adou Thiero,LAL,SF,50.0,10.4,0.516,2.2,0.639,1.6,0.1,3.3,2.0,0.7,0.5,0.1,0.6,,398.0,-8.41
Emanuel Sharp,SAC,SG,40.0,8.4,0.417,2.5,0.866,0.8,0.6,3.3,0.6,0.4,0.3,0.0,0.2,,399.0,-8.47
Rayan Rupert,PHI,"PG,SG",30.0,8.4,0.397,2.5,0.766,0.5,0.3,2.7,1.4,0.5,0.4,0.1,0.5,,400.0,-8.52
Alex Karaban,SAC,"SF,PF",40.0,8.4,0.462,1.9,0.875,0.4,0.4,2.4,1.0,0.4,0.2,0.2,0.2,,401.0,-8.53
Devin Carter,ATL,"PG,SG",30.0,7.8,0.402,3.0,0.677,1.0,0.4,3.4,1.4,1.0,0.4,0.1,0.5,,402.0,-8.54
Jaden Hardy,LAL,"PG,SG",30.0,8.1,0.429,3.8,0.712,0.7,0.8,4.6,0.8,0.6,0.2,0.1,0.7,,403.0,-8.6
Jamaree Bouyea,PHO,PG,20.0,6.1,0.461,2.2,0.667,0.4,0.2,2.4,0.8,0.8,0.3,0.2,0.3,,404.0,-8.62
Baba Miller,LAC,"SF,PF,C",20.0,8.4,0.505,1.9,0.663,1.0,0.1,2.6,2.1,0.7,0.1,0.2,0.4,,405.0,-8.62
Jae'Sean Tate,HOU,"SF,PF",40.0,7.4,0.492,1.9,0.659,0.4,0.2,2.4,1.4,0.5,0.3,0.1,0.3,,406.0,-8.66
Yang Hansen,POR,C,58.0,10.4,0.311,3.5,0.824,1.2,0.2,3.3,2.3,0.8,0.1,0.4,1.1,,407.0,-8.78
Chris Cenac Jr.,BOS,"PF,C",40.0,8.4,0.467,2.1,0.61,0.4,0.2,2.4,2.0,0.2,0.2,0.1,0.2,,408.0,-8.84
Joshua Jefferson,BKN,PF,10.0,6.1,0.45,1.8,0.711,0.9,0.2,2.4,1.1,0.7,0.2,0.1,0.4,,409.0,-8.96
Ryan Conwell,MIA,"SG,PG",30.0,6.4,0.409,2.3,0.824,0.7,0.5,2.9,0.7,0.4,0.2,0.0,0.3,,410.0,-8.96
Isaiah Evans,MIN,"SG,PG,SF",30.0,5.8,0.424,1.8,0.87,0.5,0.4,2.3,0.5,0.2,0.1,0.1,0.2,,411.0,-9.0
Bronny James Jr.,LAL,"PG,SG",30.0,5.8,0.375,1.9,0.818,0.2,0.3,1.9,0.4,0.8,0.3,0.1,0.4,,412.0,-9.06
Tarris Reed Jr.,SA,C,20.0,4.8,0.552,1.4,0.621,0.6,0.0,1.9,1.2,0.3,0.1,0.3,0.3,,413.0,-9.06
DeAndre Jordan,NO,C,10.0,4.4,0.651,0.9,0.475,0.4,0.0,1.3,1.8,0.3,0.1,0.2,0.2,,414.0,-9.13
Jordan McLaughlin,SA,"PG,SG",20.0,4.4,0.425,1.1,0.773,0.2,0.3,1.4,0.5,0.7,0.3,0.0,0.2,,415.0,-9.13
Trevon Brazile,DEN,"PF,C",40.0,4.4,0.495,1.0,0.714,0.4,0.1,1.4,0.8,0.2,0.2,0.2,0.1,,416.0,-9.27
Zuby Ejiofor,ATL,"PF,C",20.0,4.4,0.45,1.3,0.714,0.8,0.1,1.8,0.8,0.4,0.1,0.2,0.2,117.0,417.0,-9.32
Caleb Love,PHI,"PG,SG",20.0,5.4,0.386,2.6,0.731,0.3,0.5,2.7,0.6,0.7,0.2,0.0,0.3,,418.0,-9.35
Caleb Houstan,NO,"SG,SF",20.0,4.4,0.432,1.1,0.9,0.1,0.4,1.5,0.4,0.2,0.1,0.0,0.1,,419.0,-9.37
Bennett Stirtz,OKC,"PG,SG",20.0,5.4,0.442,1.7,0.82,0.5,0.3,2.1,0.3,0.5,0.2,0.0,0.2,,420.0,-9.37
Pacôme Dadiet,NY,"SF,PF",40.0,6.8,0.327,2.2,0.766,0.5,0.4,2.2,1.3,0.5,0.2,0.1,0.2,,421.0,-9.38
Alijah Martin,TOR,SG,20.0,4.4,0.32,1.5,0.793,0.6,0.1,1.6,0.6,0.4,0.2,0.1,0.2,,422.0,-9.54
Koa Peat,PHO,"PF,SF,C",40.0,6.7,0.476,2.1,0.63,0.8,0.0,2.6,1.0,0.5,0.1,0.1,0.3,,423.0,-9.58
Cam Christie,LAC,"SG,SF",30.0,5.4,0.37,1.7,0.745,0.6,0.1,1.8,0.9,0.4,0.2,0.0,0.2,,424.0,-9.63
Andre Jackson Jr.,TOR,"SG,SF",30.0,4.4,0.426,1.0,0.556,0.2,0.1,1.1,0.8,0.4,0.2,0.1,0.3,,425.0,-9.66
KJ Simpson,DEN,PG,20.0,4.4,0.346,1.6,0.778,0.3,0.2,1.5,0.6,0.6,0.2,0.0,0.3,,426.0,-9.71
Chaz Lanier,DET,SG,40.0,5.5,0.312,1.9,0.846,0.1,0.4,1.7,0.5,0.4,0.2,0.0,0.1,,427.0,-9.86
Jayden Quaintance,SA,"PF,C",20.0,8.4,0.56,1.3,0.37,1.0,0.0,1.9,1.9,0.2,0.2,0.3,0.6,,428.0,-10.21
Noa Essengue,CHI,PF,20.0,4.8,0.0,2.4,0.0,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0,,429.0,-10.66
