player,team,pos,gp,mpg,fg_pct,fga,ft_pct,fta,tpm,pts,reb,ast,stl,blk,tov,adp,htag_rank,htag_total
Jaylon Tyson,CLE,"SG,SF",70.0,21.4,0.481,7.8,0.744,1.3,1.5,9.9,4.1,1.8,0.6,0.3,1.2,129.0,232.0,-3.07
Danny Wolf,BKN,"PF,C",67.0,22.7,0.405,8.5,0.771,2.1,1.3,9.8,5.4,2.5,0.6,0.6,1.4,,233.0,-3.07
Zaccharie Risacher,DAL,"SF,PF",70.0,24.0,0.457,9.5,0.688,1.7,1.6,11.5,3.8,1.2,0.8,0.5,1.1,,234.0,-3.14
Luke Kennard,PHO,"PG,SG",70.0,20.0,0.505,5.6,0.901,0.8,1.5,7.9,2.3,2.5,0.7,0.1,0.9,104.5,235.0,-3.14
Jarace Walker,IND,"SF,PF",72.0,22.2,0.437,7.8,0.728,1.8,1.5,9.6,4.4,2.2,0.8,0.4,1.6,,236.0,-3.17
Sam Hauser,BOS,"SF,PF",74.0,23.2,0.433,7.3,0.875,0.3,2.5,9.0,3.5,1.2,0.5,0.2,0.4,122.0,237.0,-3.18
Yves Missi,NO,C,68.0,22.2,0.546,5.4,0.602,2.1,0.0,7.2,6.8,1.3,0.4,1.4,0.9,,238.0,-3.2
Luguentz Dort,ATL,"SG,SF",68.0,24.8,0.412,7.1,0.742,0.7,1.9,8.3,3.4,1.3,0.9,0.4,0.7,,239.0,-3.2
Kyle Anderson,TOR,"PF,C",61.0,18.8,0.493,5.2,0.721,1.4,0.3,6.4,3.6,2.8,0.9,0.6,0.8,,240.0,-3.25
AJ Dybantsa,WAS,"SF,PF",70.0,30.3,0.485,10.9,0.757,5.2,0.8,15.4,4.2,2.2,0.7,0.2,1.9,75.7,241.0,-3.33
Jamal Shead,TOR,PG,76.0,24.4,0.386,7.5,0.781,1.4,1.2,8.0,1.9,5.6,1.0,0.2,1.7,,242.0,-3.34
Noah Clowney,BKN,"PF,C",64.0,24.1,0.382,8.7,0.813,2.6,1.9,10.6,3.9,1.3,0.6,0.6,1.3,,243.0,-3.46
Zach Collins,CHI,C,40.0,15.8,0.519,5.0,0.844,1.4,0.6,6.9,4.7,1.7,0.4,0.5,1.0,,244.0,-3.48
Dylan Cardwell,SAC,"PF,C",50.0,15.9,0.587,3.2,0.511,0.9,0.0,4.2,5.9,1.1,0.5,1.2,0.7,,245.0,-3.5
Isaac Okoro,CHI,"SF,PF",68.0,25.8,0.462,6.9,0.773,1.5,1.2,8.7,2.9,1.6,0.7,0.4,0.7,,246.0,-3.53
Ron Holland II,DET,"SF,PF",76.0,21.2,0.449,7.3,0.782,2.1,0.7,8.8,4.1,1.4,1.1,0.3,1.3,,247.0,-3.56
Precious Achiuwa,SAC,"PF,C",72.0,21.1,0.519,6.8,0.566,1.5,0.3,8.2,5.9,1.1,0.8,0.7,0.8,,248.0,-3.61
Brayden Burries,MIL,"SG,PG",69.0,22.8,0.466,7.6,0.814,2.5,1.1,10.2,2.8,1.4,0.9,0.1,0.9,,249.0,-3.64
Kevin Huerter,DET,"SG,SF",60.0,19.5,0.439,7.3,0.753,0.7,1.4,8.4,2.7,2.0,0.8,0.3,0.9,,250.0,-3.73
Moritz Wagner,BKN,C,60.0,16.4,0.503,7.4,0.76,3.0,0.8,10.6,4.4,1.2,0.7,0.2,1.1,,251.0,-3.8
Jordan Miller,LAC,"SG,SF",62.0,21.4,0.506,6.6,0.781,2.6,0.6,9.3,3.0,2.1,0.8,0.2,1.1,,252.0,-3.82
Nique Clifford,SAC,"SG,SF",72.0,26.1,0.418,8.4,0.721,1.4,1.1,9.0,4.0,2.5,1.0,0.3,1.6,,253.0,-3.83
Jake LaRavia,LAL,"SF,PF",70.0,18.8,0.465,5.1,0.728,1.6,0.8,6.7,3.5,1.8,1.0,0.4,1.0,,254.0,-3.85
Justin Champagnie,WAS,"SF,PF",60.0,15.4,0.506,5.0,0.74,1.0,0.7,6.5,4.2,0.8,0.7,0.5,0.6,,255.0,-3.88
Ziaire Williams,LAL,"SG,SF",65.0,18.6,0.418,6.3,0.834,1.8,1.3,8.0,2.8,1.0,0.9,0.3,0.8,,256.0,-3.9
Kasparas Jakucionis,MIL,PG,60.0,18.4,0.429,4.7,0.877,1.3,1.3,6.5,2.7,2.7,0.7,0.1,1.0,,257.0,-3.92
Keaton Wagler,LAC,"SG,PG",70.0,26.4,0.433,7.4,0.794,3.4,1.4,10.5,3.0,2.5,0.5,0.2,1.1,122.7,258.0,-3.92
Tre Johnson,WAS,"PG,SG,SF",65.0,22.2,0.419,10.1,0.874,1.4,1.8,11.4,2.6,1.9,0.5,0.3,1.5,,259.0,-3.95
