player,team,pos,xrank,adp
Victor Wembanyama,SAS,C,1,1.8
Nikola Jokić,DEN,C,2,2.7
Luka Dončić,LAL,"PG,SG",3,4.8
Shai Gilgeous-Alexander,OKC,PG,4,6.1
Cade Cunningham,DET,"PG,SG",5,8.5
Cooper Flagg,DAL,"SG,SF,PF",13,11.0
Tyrese Maxey,PHI,PG,6,11.1
Giannis Antetokounmpo,MIA,"PF,C",9,12.3
Jayson Tatum,BOS,"SF,PF",7,12.4
Scottie Barnes,TOR,"SF,PF,C",15,14.1
Anthony Edwards,MIN,"PG,SG",8,15.0
Karl-Anthony Towns,NYK,"PF,C",16,15.2
Kevin Durant,HOU,"SG,SF,PF",14,15.5
Jalen Johnson,ATL,"SF,PF",10,16.4
Alperen Şengün,HOU,"PF,C",23,18.4
Jamal Murray,DEN,PG,17,18.6
Donovan Mitchell,CLE,"PG,SG",11,19.6
Kawhi Leonard,TOR,"SG,SF,PF",18,20.0
Chet Holmgren,OKC,"PF,C",19,21.1
Tyrese Haliburton,IND,"PG,SG",12,22.2
Austin Reaves,LAL,"PG,SG,SF",24,22.4
LaMelo Ball,MIN,PG,20,22.5
Jalen Brunson,NYK,PG,28,22.9
Stephen Curry,GSW,PG,25,23.6
Anthony Davis,WAS,"PF,C",21,24.9
Trae Young,WAS,PG,22,26.6
Amen Thompson,HOU,"PG,SG",31,29.2
Walker Kessler,LAL,C,26,29.5
Josh Giddey,CHI,"PG,SG",27,29.8
Jalen Duren,DET,C,29,31.3
Devin Booker,PHX,"PG,SG",33,31.6
Jaylen Brown,PHI,"SG,SF,PF",40,32.2
Evan Mobley,CLE,"PF,C",32,32.4
Bam Adebayo,MIA,"PF,C",36,33.9
Domantas Sabonis,SAC,"PF,C",34,35.2
Deni Avdija,POR,"SG,SF,PF",41,35.3
Trey Murphy III,NOP,"SG,SF",30,35.8
Kon Knueppel,CHA,"SG,SF",37,37.2
Paolo Banchero,ORL,PF,54,37.5
James Harden,CLE,"PG,SG",35,38.4
Donovan Clingan,POR,C,38,40.7
LeBron James,PHI,"SF,PF",42,40.8
Lauri Markkanen,UTA,"SF,PF",44,43.8
Jalen Williams,OKC,"SF,PF",43,44.8
Derrick White,BOS,"PG,SG",39,44.9
Pascal Siakam,IND,"PF,C",52,47.7
Joel Embiid,PHI,C,48,47.9
Kyrie Irving,DAL,PG,45,48.7
Brandon Miller,CHA,"SF,PF",46,49.6
Keyonte George,UTA,"PG,SG",47,52.4
Franz Wagner,ORL,"SF,PF",51,53.8
Jaren Jackson Jr.,UTA,"PF,C",50,54.5
Desmond Bane,ORL,"SG,SF",49,54.7
Stephon Castle,SAS,"PG,SG",70,56.1
Onyeka Okongwu,ATL,C,57,56.9
Darius Garland,LAC,PG,53,58.3
Matas Buzelis,CHI,"SF,PF",83,59.0
Nickeil Alexander-Walker,ATL,"PG,SG",55,59.4
Alex Sarr,WAS,C,56,60.8
OG Anunoby,NYK,"SF,PF",60,61.4
Tyler Herro,MIL,"PG,SG",58,61.7
Cameron Boozer,MEM,PF,65,62.6
Dyson Daniels,ATL,"SG,SF",63,62.9
Julius Randle,BKN,PF,64,64.1
Naz Reid,CHA,"PF,C",61,64.8
Dejounte Murray,NOP,PG,59,66.5
VJ Edgecombe,PHI,"PG,SG",71,67.1
Michael Porter Jr.,BKN,"SF,PF",67,67.9
Ivica Zubac,IND,C,68,68.4
Zach Edey,MEM,C,62,69.9
Zion Williamson,NOP,"PF,C",72,70.1
Damian Lillard,POR,PG,66,71.9
AJ Green,MIL,"PG,SG,SF",260,73.3
Ryan Rollins,MIL,"PG,SG",69,74.3
Brandon Ingram,LAC,"SG,SF,PF",77,75.3
Aaron Nesmith,IND,"SG,SF",199,75.3
Kel'el Ware,MIL,C,82,75.5
Mikal Bridges,NYK,"SF,PF",73,76.0
AJ Dybantsa,WAS,SF,86,76.0
Rudy Gobert,MIN,C,78,76.1
Payton Pritchard,BOS,PG,80,76.9
Jarrett Allen,CLE,C,76,77.9
Brook Lopez,LAC,C,139,77.9
Jaden McDaniels,MIN,SF,74,78.2
Dylan Harper,SAS,"PG,SG",79,79.1
Paul George,BOS,"SF,PF",75,79.8
Caleb Wilson,CHI,PF,81,80.3
Derik Queen,NOP,"PF,C",94,80.7
De'Aaron Fox,SAS,PG,84,82.2
Adem Bona,PHI,C,189,85.4
