consensus_rank,player,team,pos,consensus_avg,our_rank,yahoo_xrank,yahoo_adp,n_signals,z_adj
1,Victor Wembanyama,SAS,C,2.0,2,2,,2,10.027
2,Nikola Jokic,DEN,C,2.0,3,1,,2,10.0
3,Shai Gilgeous-Alexander,OKC,PG,2.5,1,4,,2,10.391
4,Luka Doncic,LAL,"PG,SG",3.5,4,3,,2,4.845
5,Tyrese Maxey,PHI,PG,5.5,5,6,,2,4.123
6,Anthony Edwards,MIN,"PG,SG",7.5,8,7,,2,3.898
7,Cade Cunningham,DET,"PG,SG",8.0,11,5,,2,3.183
8,Karl-Anthony Towns,NYK,"C,PF",11.0,6,16,,2,4.043
9,Jayson Tatum,BOS,"SF,PF",12.5,17,8,,2,2.55
10,Donovan Mitchell,CLE,"SG,PG",13.0,15,11,,2,2.829
11,Cooper Flagg,DAL,"SG,SF,PF",13.5,14,13,,2,2.872
12,Stephen Curry,GSW,PG,17.0,12,22,,2,2.917
13,Austin Reaves,LAL,"SG,PG,SF",18.0,18,18,,2,2.508
14,Jalen Johnson,ATL,"PF,SF",18.0,26,10,,2,2.127
15,Devin Booker,PHX,"SG,PG",19.5,13,26,,2,2.891
16,Tyrese Haliburton,IND,"PG,SG",20.0,28,12,,2,2.097
17,Chet Holmgren,OKC,"PF,C",20.5,10,31,,2,3.466
18,Trey Murphy III,NOP,"SG,SF",22.5,21,24,,2,2.44
19,Jamal Murray,DEN,PG,22.5,30,15,,2,2.015
20,Kevin Durant,HOU,"SF,PF,SG",23.0,32,14,,2,1.948
21,Evan Mobley,CLE,"C,PF",24.0,19,29,,2,2.481
22,Josh Giddey,CHI,"PG,SG",25.0,31,19,,2,1.991
23,Anthony Davis,WAS,"PF,C",25.5,7,44,,2,3.938
24,Scottie Barnes,TOR,"SF,PF,C",26.0,35,17,,2,1.616
25,Kyrie Irving,DAL,PG,26.5,16,37,,2,2.755
26,Amen Thompson,HOU,"PG,SG",28.5,29,28,,2,2.06
27,James Harden,CLE,"SG,PG",29.5,36,23,,2,1.569
28,Kawhi Leonard,TOR,"SG,SF,PF",30.5,25,36,,2,2.15
29,Trae Young,WAS,PG,30.5,40,21,,2,1.108
30,LaMelo Ball,MIN,PG,30.5,41,20,,2,1.096
31,Domantas Sabonis,SAC,"C,PF",31.0,20,42,,2,2.446
32,Derrick White,BOS,"SG,PG",32.0,24,40,,2,2.16
33,Jalen Williams,OKC,"SF,PF",32.5,27,38,,2,2.106
34,Giannis Antetokounmpo,MIA,"PF,C",33.5,58,9,,2,0.317
35,Joel Embiid,PHI,C,34.5,22,47,,2,2.276
36,Desmond Bane,ORL,"SF,SG",36.0,38,34,,2,1.296
37,Bam Adebayo,MIA,"C,PF",38.0,33,43,,2,1.801
38,Jalen Brunson,NYK,PG,38.5,47,30,,2,0.861
39,Dyson Daniels,ATL,"SG,SF",39.0,9,69,,2,3.886
40,Walker Kessler,LAL,C,39.0,37,41,,2,1.359
41,Darius Garland,LAC,PG,40.0,23,57,,2,2.204
42,Jaren Jackson Jr,UTA,"C,PF",41.0,34,48,,2,1.735
43,Lauri Markkanen,UTA,"PF,SF",41.0,49,33,,2,0.717
44,Alperen Sengun,HOU,"C,PF",42.0,57,27,,2,0.424
45,Jalen Duren,DET,C,42.0,59,25,,2,0.316
46,Brandon Miller,CHA,"SF,PF",46.0,60,32,,2,0.266
47,OG Anunoby,NYK,"SF,PF",48.5,44,53,,2,1.04
48,Onyeka Okongwu,ATL,C,49.0,46,52,,2,0.983
49,Michael Porter Jr,BKN,"SF,PF",49.0,48,50,,2,0.841
50,Tyler Herro,MIL,"SG,PG",51.0,43,59,,2,1.065
51,Cameron Boozer,MEM,PF,55.0,45,65,,2,1.014
52,Kel'el Ware,MIL,C,58.0,39,77,,2,1.134
53,Paul George,BOS,"SF,PF",59.0,50,68,,2,0.684
54,Mikal Bridges,NYK,"SF,PF",59.5,56,63,,2,0.483
55,Deni Avdija,POR,"SF,PF,SG",59.5,70,49,,2,-0.022
56,Franz Wagner,ORL,"SF,PF",61.5,69,54,,2,0.057
57,De'Aaron Fox,SAS,PG,62.5,54,71,,2,0.586
58,Jaden McDaniels,MIN,SF,67.5,55,80,,2,0.568
59,Zach Edey,MEM,C,67.5,71,64,,2,-0.039
