consensus_rank,player,team,pos,consensus_avg,our_rank,yahoo_xrank,yahoo_adp,n_signals,z_adj
60,Dejounte Murray,NOP,PG,67.5,75,60,,2,-0.106
61,Myles Turner,MIL,C,69.0,42,96,,2,1.072
62,Payton Pritchard,BOS,PG,70.0,67,73,,2,0.073
63,Kon Knueppel,CHA,"SF,SG",71.5,108,35,,2,-1.006
64,Ausar Thompson,DET,"SF,PF,SG",72.0,66,78,,2,0.092
65,Pascal Siakam,IND,"PF,C",72.5,89,56,,2,-0.49
66,Jarrett Allen,CLE,C,73.0,63,83,,2,0.192
67,Ty Jerome,MEM,"SG,PG",75.0,51,99,,2,0.682
68,Damian Lillard,POR,PG,75.5,93,58,,2,-0.635
69,Kristaps Porzingis,GSW,C,76.0,52,100,,2,0.647
70,Ivica Zubac,IND,C,76.5,87,66,,2,-0.472
71,Alex Sarr,WAS,C,77.0,82,72,,2,-0.284
72,Keyonte George,UTA,"SG,PG",77.0,115,39,,2,-1.134
73,Brandon Ingram,LAC,"SG,SF,PF",77.5,88,67,,2,-0.484
74,Nic Claxton,CHI,C,78.0,62,94,,2,0.193
75,Nickeil Alexander-Walker,ATL,"PG,SG",78.0,105,51,,2,-0.951
76,Josh Hart,NYK,"SG,SF",79.5,53,106,,2,0.59
77,Day'Ron Sharpe,BKN,C,81.5,74,89,,2,-0.088
78,Matas Buzelis,CHI,"SF,PF",81.5,81,82,,2,-0.259
79,Zach LaVine,SAC,"PG,SG,SF",84.0,73,95,,2,-0.079
80,Jalen Suggs,ORL,"PG,SG",84.5,79,90,,2,-0.224
81,Stephon Castle,SAS,"PG,SG",86.5,97,76,,2,-0.81
82,Coby White,CHA,"PG,SG",86.5,103,70,,2,-0.927
83,Donovan Clingan,POR,C,86.5,118,55,,2,-1.22
84,Norman Powell,CHI,"SG,SF",87.0,90,84,,2,-0.542
85,Rudy Gobert,MIN,C,89.5,94,85,,2,-0.66
86,Jaylen Brown,PHI,"SG,SF,PF",89.5,133,46,,2,-1.579
87,John Collins,DET,"PF,C",90.0,78,102,,2,-0.201
88,Zion Williamson,NOP,"PF,C",90.0,101,79,,2,-0.9
89,Naz Reid,CHA,"C,PF",90.5,100,81,,2,-0.885
90,VJ Edgecombe,PHI,"SG,PG",92.0,109,75,,2,-1.023
91,LeBron James,PHI,"SF,PF",92.5,140,45,,2,-1.774
92,Julius Randle,BKN,PF,94.0,114,74,,2,-1.078
93,Jimmy Butler,GSW,"SF,PF",96.0,68,124,,2,0.06
94,Paolo Banchero,ORL,PF,96.0,130,62,,2,-1.546
95,Fred VanVleet,HOU,PG,98.5,76,121,,2,-0.121
96,Immanuel Quickley,TOR,"PG,SG",99.5,111,88,,2,-1.054
97,Ajay Mitchell,OKC,"PG,SG",100.5,72,129,,2,-0.061
98,Keegan Murray,SAC,"SF,PF",100.5,110,91,,2,-1.049
99,Herb Jones,NOP,"SG,SF",101.0,64,138,,2,0.187
100,Tari Eason,HOU,"SF,PF,SG",101.0,65,137,,2,0.103
101,Collin Murray-Boyles,TOR,"PF,C",104.0,95,113,,2,-0.668
102,Cason Wallace,OKC,PG,105.0,91,119,,2,-0.58
103,Cam Johnson,DEN,"SF,PF",105.5,61,150,,2,0.224
104,Isaiah Hartenstein,OKC,C,105.5,113,98,,2,-1.071
105,Toumani Camara,POR,"SF,PF",107.5,85,130,,2,-0.389
106,Jabari Smith Jr,HOU,"PF,C",109.5,116,103,,2,-1.14
107,Sandro Mamukelashvili,LAL,"PF,C",111.0,86,136,,2,-0.39
108,Saddiq Bey,NOP,"PF,SF",111.0,102,120,,2,-0.92
109,Jrue Holiday,POR,"PG,SG",111.5,92,131,,2,-0.621
110,Collin Gillespie,PHX,"PG,SG",111.5,106,117,,2,-0.957
111,Brandin Podziemski,GSW,"SG,PG",111.5,119,104,,2,-1.247
112,Cedric Coward,MEM,"SG,SF",112.5,139,86,,2,-1.766
113,Reed Sheppard,HOU,"PG,SG",115.0,107,123,,2,-0.974
114,Miles Bridges,PHX,PF,116.0,123,109,,2,-1.464
115,Ryan Rollins,MIL,"PG,SG",116.0,171,61,,2,-2.548
116,Caleb Wilson,CHI,PF,117.0,147,87,,2,-2.099
117,Aaron Gordon,DEN,"PF,C",120.5,99,142,,2,-0.878
118,Ja Morant,POR,PG,121.0,137,105,,2,-1.647
119,PJ Washington,DAL,"PF,C",123.0,77,169,,2,-0.199
120,Christian Braun,DEN,"SG,SF,PF",124.0,83,165,,2,-0.29
121,Andrew Wiggins,MIA,"SG,SF,PF",125.0,143,107,,2,-2.034
122,Bogdan Bogdanovic,HOU,SG,127.0,127,,,1,-1.517
123,Jakob Poeltl,TOR,C,127.5,128,127,,2,-1.52
124,Derik Queen,NOP,"C,PF",128.0,163,93,,2,-2.466
125,Aaron Nesmith,IND,SF,129.0,98,160,,2,-0.877
126,Dylan Harper,SAS,"SG,PG",129.0,166,92,,2,-2.483
127,Yaxel Lendeborg,GSW,PF,130.0,121,139,,2,-1.314
128,Keon Ellis,BKN,SG,131.0,131,,,1,-1.556
129,Paul Reed,DET,"C,PF",131.5,104,159,,2,-0.945
130,Dereck Lively,DAL,C,131.5,117,146,,2,-1.202
131,Ayo Dosunmu,MIN,"PG,SG",131.5,155,108,,2,-2.311
132,Cam Thomas,FA,SG,132.0,132,,,1,-1.57
133,Devin Vassell,SAS,SG,132.5,124,141,,2,-1.491
134,Tre Jones,CHI,"PG,SG",133.0,148,118,,2,-2.106
135,Peyton Watson,CLE,"SF,PF",133.0,151,115,,2,-2.217
136,Brook Lopez,LAC,C,133.5,96,171,,2,-0.745
137,CJ McCollum,ATL,"SG,PG",133.5,135,132,,2,-1.604
138,Draymond Green,GSW,PF,134.5,112,157,,2,-1.066
139,Andrew Nembhard,IND,"SG,PG",136.5,161,112,,2,-2.415
140,Daniel Gafford,DAL,C,138.5,142,135,,2,-1.802
141,Anfernee Simons,PHI,SG,139.0,84,194,,2,-0.321
142,Jalen Green,PHX,"SG,SF",139.0,138,140,,2,-1.753
143,AJ Dybantsa,WAS,SF,140.0,169,111,,2,-2.536
144,DeMar DeRozan,DEN,"SF,PF",140.5,165,116,,2,-2.48
145,Jerami Grant,MEM,"PF,SF",144.0,120,168,,2,-1.255
146,Zaccharie Risacher,DAL,SF,144.0,144,,,1,-2.04
147,Kelly Oubre,IND,SF,144.0,160,128,,2,-2.391
148,Rui Hachimura,LAC,PF,144.5,164,125,,2,-2.475
149,Jordan Poole,NOP,SG,145.0,80,210,,2,-0.257
150,Mark Williams,PHX,C,146.0,126,166,,2,-1.509
151,Nikola Vucevic,ORL,C,148.0,134,162,,2,-1.592
152,Kyshawn George,WAS,"SF,SG,PF",148.5,146,151,,2,-2.089
153,Anthony Black,ORL,"PG,SG,SF",151.5,177,126,,2,-2.809
154,Darryn Peterson,UTA,SG,152.0,170,134,,2,-2.546
155,Tobias Harris,SAS,PF,152.5,158,147,,2,-2.366
156,Jaden Ivey,FA,SG,153.0,153,,,1,-2.265
157,Khaman Maluach,PHX,C,153.0,192,114,,2,-3.298
158,Wendell Carter Jr,ORL,C,156.0,159,153,,2,-2.38
159,Davion Mitchell,MIA,PG,156.0,211,101,,2,-3.764
160,Deandre Ayton,WAS,C,157.5,141,174,,2,-1.789
161,Bobby Portis,MIA,"PF,C",160.0,175,145,,2,-2.737
162,Neemias Queta,BOS,C,160.0,223,97,,2,-4.408
163,Robert Williams III,POR,C,161.0,152,170,,2,-2.263
164,Moussa Diabate,CHA,C,161.0,178,144,,2,-2.833
165,Alex Caruso,OKC,PG,162.0,125,199,,2,-1.501
166,Bilal Coulibaly,WAS,SF,165.5,122,209,,2,-1.366
167,Collin Sexton,LAL,PG,166.0,145,187,,2,-2.082
168,Santi Aldama,DAL,PF,166.5,156,177,,2,-2.319
169,Shaedon Sharpe,POR,"PG,SG",168.0,136,200,,2,-1.631
170,Kevin Porter Jr,MIL,"PG,SG",168.5,215,122,,2,-3.877
171,Mitchell Robinson,BOS,C,172.0,181,163,,2,-2.943
172,Bennedict Mathurin,NOP,SG,172.0,195,149,,2,-3.426
173,RJ Barrett,TOR,"SF,PF,SG",172.0,201,143,,2,-3.605
174,Kyle Filipowski,UTA,C,172.5,129,216,,2,-1.522
175,Donte DiVincenzo,MIN,SG,173.0,173,,,1,-2.696
176,Jusuf Nurkic,UTA,C,174.0,238,110,,2,-5.423
177,Julian Champagnie,SAS,"SF,PF",175.0,174,176,,2,-2.706
178,Jaime Jaquez Jr,MIL,"SF,SG,PF",175.5,218,133,,2,-4.042
179,Quentin Grimes,LAL,"SG,SF",176.0,167,185,,2,-2.501
180,De'Andre Hunter,SAC,SF,176.0,168,184,,2,-2.501
181,Gary Trent Jr,MIL,SG,176.0,176,,,1,-2.801
182,Egor Demin,BKN,"PG,SG",176.0,197,155,,2,-3.462
183,Ace Bailey,UTA,SF,178.5,179,178,,2,-2.892
184,Grayson Allen,CHA,SG,179.0,185,173,,2,-3.061
185,Dillon Brooks,PHX,SF,179.0,202,156,,2,-3.618
186,Darius Acuff,SAC,PG,180.0,208,152,,2,-3.724
187,Isaiah Stewart,MEM,"C,PF",183.5,172,195,,2,-2.617
188,Luguentz Dort,ATL,SG,184.0,157,211,,2,-2.361
189,Naji Marshall,DAL,"SF,PF",184.0,180,188,,2,-2.91
190,Jonathan Kuminga,MIN,PF,184.0,220,148,,2,-4.255
191,Klay Thompson,MIA,SG,185.0,187,183,,2,-3.133
192,Maxime Raynaud,SAC,C,185.5,207,164,,2,-3.712
193,GG Jackson,MEM,PF,186.5,182,191,,2,-2.987
194,Jared McCain,OKC,SG,188.0,154,222,,2,-2.297
195,Marcus Smart,HOU,PG,189.5,150,229,,2,-2.21
196,Isaiah Joe,DET,SG,190.0,190,,,1,-3.209
197,Jeremiah Fears,NOP,"PG,SG",190.5,188,193,,2,-3.178
198,Kyle Kuzma,MIL,PF,190.5,214,167,,2,-3.872
199,Taylor Hendricks,MEM,PF,191.0,191,,,1,-3.234
200,Malik Monk,SAC,SG,192.5,162,223,,2,-2.435
201,Max Strus,LAC,SG,192.5,206,179,,2,-3.709
202,Derrick Jones Jr,LAC,SF,194.0,184,204,,2,-3.034
203,Obi Toppin,IND,PF,194.0,194,,,1,-3.37
204,Duncan Robinson,DET,"SG,SF",194.5,186,203,,2,-3.115
205,De'Anthony Melton,GSW,PG,195.0,149,241,,2,-2.162
206,Jay Huff,IND,C,197.5,209,186,,2,-3.726
207,Kasparas Jakucionis,MIL,PG,199.0,199,,,1,-3.563
208,Yves Missi,NOP,C,202.0,212,192,,2,-3.8
209,Royce O'Neale,CHA,SF,204.0,189,219,,2,-3.201
210,Hannes Steinbach,CHA,C,205.0,205,,,1,-3.701
211,Scoot Henderson,POR,PG,205.0,229,181,,2,-4.688
212,Sam Hauser,BOS,SF,206.0,216,196,,2,-3.957
213,Jaylen Wells,MEM,SG,208.0,198,218,,2,-3.52
214,Keaton Wagler,LAC,SG,210.5,183,238,,2,-3.005
215,Goga Bitadze,ORL,C,213.0,213,,,1,-3.867
216,Tre Johnson,WAS,SG,213.5,200,227,,2,-3.577
217,Terrence Shannon Jr,MIN,SG,214.0,196,232,,2,-3.461
218,Mikel Brown,BKN,PG,214.5,240,189,,2,-5.623
219,Keldon Johnson,SAS,SF,215.5,210,221,,2,-3.736
220,Rob Dillingham,CHI,PG,219.0,193,245,,2,-3.364
221,Ron Holland,DET,SF,219.0,219,,,1,-4.18
222,AJ Green,MIL,SG,221.0,221,,,1,-4.264
223,Bub Carrington,WAS,PG,221.5,203,240,,2,-3.631
224,Morez Johnson Jr.,DAL,PF,221.5,242,201,,2,-6.497
225,Khris Middleton,WAS,SF,223.0,204,242,,2,-3.636
226,Joan Beringer,MIN,C,223.0,234,212,,2,-4.969
227,Liam McNeeley,CHA,SF,224.0,224,,,1,-4.472
228,Isaiah Collier,UTA,PG,224.5,225,224,,2,-4.494
229,Andre Drummond,NYK,C,224.5,236,213,,2,-5.367
230,Nikola Jovic,MIA,PF,226.0,217,235,,2,-4.029
231,Dalton Knecht,LAL,SG,226.0,226,,,1,-4.529
232,Kris Murray,MEM,SF,227.0,227,,,1,-4.635
233,Tristan da Silva,ORL,SF,229.0,232,226,,2,-4.848
234,Clint Capela,HOU,C,230.0,230,,,1,-4.733
235,Dailyn Swain,CHI,SF,231.0,231,,,1,-4.735
236,Brice Sensabaugh,UTA,SF,233.0,233,233,,2,-4.92
237,Gradey Dick,LAC,SG,234.0,222,246,,2,-4.356
238,Adem Bona,PHI,C,235.0,235,,,1,-5.32
239,Zuby Ejiofor,ATL,PF,237.0,237,,,1,-5.376
240,Allen Graves,TOR,PF,238.0,228,248,,2,-4.66
241,Labaron Philon,PHI,PG,239.0,239,,,1,-5.452
242,Jeremy Sochan,POR,PF,241.0,241,,,1,-6.0
243,Cam Whitmore,CLE,SF,243.0,243,,,1,-6.498
244,Ebuka Okorie,DET,SG,244.0,244,,,1,-6.666
245,Jalen Wilson,ATL,SF,245.0,245,,,1,-8.402
