player,team,pos,rank,value,rank_avg,value_avg,gp,mpg,pts,reb,ast,stl,blk,tpm,tov,fg_pct,fga,ft_pct,fta,z_pts,z_reb,z_ast,z_stl,z_blk,z_tpm,z_fgpct,z_ftpct,z_tov
Saddiq Bey,NOP,PF/SF,153,-1.4695,109,0.0744,53.8,29.8,16.239,5.419,2.345,0.893,0.133,1.945,0.932,0.45,12.38,0.839,3.74,-0.107,-0.202,-0.69,-0.551,-1.1,0.063,-0.567,0.541,1.142
Naji Marshall,DAL,PF/SF/SG,154,-1.4784,185,-2.1438,68.0,26.5,13.097,4.378,2.893,0.984,0.127,0.834,1.468,0.506,9.77,0.772,3.08,-0.063,-0.161,-0.106,0.378,-1.043,-0.804,0.572,-0.328,0.076
Mitchell Robinson,BOS,C,155,-1.4847,141,-1.0698,60,21.0,6.4,8.45,1.04,0.988,1.147,0.119,0.778,0.659,4.12,0.47,1.81,-1.385,1.256,-1.217,0.0,1.236,-1.7,1.382,-2.274,1.216
Shaedon Sharpe,POR,PG/SG,156,-1.4893,146,-1.1998,61.3,29.4,19.137,4.453,2.707,1.138,0.198,1.999,2.388,0.46,15.53,0.795,3.58,0.675,-0.327,-0.36,0.518,-0.911,0.388,-0.521,-0.028,-0.924
Moses Moody,GSW,PF/SF/SG,157,-1.4936,167,-1.7416,64.7,23.4,10.98,3.119,1.518,0.875,0.496,2.053,0.852,0.449,8.34,0.786,1.83,-0.532,-0.808,-0.921,-0.129,-0.154,0.575,-0.478,-0.081,1.035
Dylan Harper,SAS,PG/SG,158,-1.5586,181,-2.0759,66.5,21.3,11.399,3.373,3.632,0.764,0.349,0.896,1.3,0.518,8.88,0.771,1.7,-0.41,-0.657,0.265,-0.418,-0.491,-0.752,0.725,-0.185,0.364
P.J. Washington,DAL,C/PF/SF,159,-1.6364,148,-1.2122,60.2,29.6,13.436,6.619,1.908,0.968,0.958,1.418,1.657,0.45,11.02,0.702,2.98,-0.277,0.52,-0.784,-0.05,0.813,-0.286,-0.57,-1.083,0.079
Jake LaRavia,LAL,SF/SG,160,-1.6393,191,-2.4976,69.8,23.2,8.106,3.931,1.954,1.129,0.425,0.977,1.103,0.467,6.12,0.755,1.87,-0.91,-0.317,-0.604,0.965,-0.246,-0.595,-0.149,-0.348,0.565
Kyshawn George,WAS,SF/SG,161,-1.6866,149,-1.2477,59.9,25.6,11.582,4.463,3.385,0.937,0.762,1.765,1.862,0.432,9.47,0.796,2.04,-0.576,-0.365,-0.055,-0.152,0.359,0.084,-0.8,-0.005,-0.176
Draymond Green,GSW,C/PF,162,-1.7029,182,-2.089,66.0,27.4,8.53,5.601,5.285,1.033,0.727,1.308,2.552,0.421,7.29,0.698,1.54,-0.919,0.326,1.152,0.441,0.446,-0.268,-0.846,-0.641,-1.394
Max Christie,DAL,SF/SG,163,-1.7119,194,-2.7472,71.0,25.6,10.41,3.109,1.817,0.634,0.351,1.826,1.074,0.449,7.9,0.878,1.71,-0.458,-0.68,-0.666,-0.701,-0.427,0.517,-0.509,0.631,0.581
Yaxel Lendeborg,GSW,PF/SF,164,-1.7129,152,-1.3221,60.1,25.9,12.32,4.7,2.86,0.885,0.523,1.428,1.46,0.47,9.55,0.782,2.44,-0.453,-0.262,-0.31,-0.295,-0.178,-0.275,-0.137,-0.136,0.334
Bennedict Mathurin,LAC,SF/SG,165,-1.759,162,-1.7077,62.3,28.5,16.253,5.147,2.186,0.725,0.285,1.362,1.9,0.451,11.65,0.856,5.13,0.256,-0.005,-0.606,-0.693,-0.697,-0.294,-0.612,1.214,-0.322
Mikel Brown,BKN,PG/SG,166,-1.8448,154,-1.4665,60.2,25.5,12.127,4.627,2.815,0.872,0.515,1.406,1.437,0.47,9.4,0.782,2.4,-0.483,-0.291,-0.332,-0.336,-0.197,-0.299,-0.135,-0.134,0.363
Collin Gillespie,PHX,PG/SG,167,-1.8548,169,-1.8123,62.7,21.7,9.664,3.211,3.478,0.943,0.175,2.114,1.15,0.425,7.95,0.857,0.93,-0.805,-0.812,0.072,-0.003,-0.953,0.569,-0.819,0.227,0.67
Anfernee Simons,PHI,PG/SG,168,-1.9216,170,-1.8695,62.4,27.0,15.751,2.647,3.34,0.612,0.135,2.657,1.56,0.437,12.93,0.894,2.02,0.179,-1.056,-0.008,-1.036,-1.05,1.172,-1.034,0.783,0.128
Zach Edey,MEM,C,169,-1.9357,95,0.5088,48.3,23.2,10.882,8.69,1.281,0.626,1.363,0.393,1.567,0.583,7.56,0.746,2.24,-1.015,0.666,-1.221,-1.43,1.122,-1.485,1.187,-0.352,0.594
Sam Hauser,BOS,PF/SF,170,-1.9357,196,-2.7786,69.6,23.2,8.957,3.582,1.31,0.523,0.273,2.375,0.452,0.433,7.28,0.848,0.33,-0.761,-0.488,-0.98,-1.128,-0.65,1.159,-0.705,0.074,1.543
Malik Monk,SAC,PG/SG,171,-1.9552,180,-2.0725,63.6,24.6,13.69,2.619,3.829,0.693,0.454,1.952,1.759,0.441,11.26,0.861,2.11,-0.116,-1.048,0.281,-0.75,-0.277,0.415,-0.828,0.548,-0.181
Dillon Brooks,PHX,PF/SF/SG,172,-1.9562,176,-2.0356,63.7,30.2,16.532,3.599,1.761,0.904,0.193,2.2,1.419,0.432,14.03,0.831,2.66,0.362,-0.623,-0.805,-0.079,-0.904,0.706,-1.267,0.376,0.278
Bilal Coulibaly,WAS,PF/SF,173,-1.9573,158,-1.6119,60.6,25.8,10.86,4.23,2.575,1.181,0.785,1.063,1.458,0.439,8.77,0.754,2.77,-0.671,-0.441,-0.443,0.605,0.429,-0.664,-0.635,-0.462,0.323
Rui Hachimura,LAC,PF/SF,174,-1.9619,187,-2.1836,64.2,28.2,11.836,3.826,1.098,0.626,0.351,1.627,0.706,0.513,8.95,0.734,1.41,-0.404,-0.512,-1.15,-0.941,-0.517,0.06,0.617,-0.36,1.245
Duncan Robinson,DET,SF/SG,175,-1.9911,200,-2.8506,69.8,25.4,11.361,2.517,2.157,0.566,0.205,2.566,0.907,0.446,8.8,0.784,1.2,-0.316,-0.985,-0.487,-0.971,-0.828,1.413,-0.605,-0.07,0.858
Keaton Wagler,LAC,PG/SG,176,-2.0256,157,-1.6041,59.8,25.1,11.943,4.557,2.772,0.858,0.507,1.385,1.415,0.47,9.26,0.782,2.37,-0.525,-0.332,-0.363,-0.392,-0.222,-0.332,-0.132,-0.131,0.403
Luguentz Dort,ATL,SF/SG,177,-2.026,192,-2.5161,66.9,26.1,8.874,3.595,1.377,0.921,0.442,1.902,0.769,0.413,7.56,0.769,0.94,-0.838,-0.548,-0.971,0.116,-0.25,0.472,-1.01,-0.109,1.114
Aaron Gordon,DEN,C/PF,178,-2.0708,129,-0.5377,52.9,30.5,16.027,5.871,3.189,0.632,0.371,1.522,1.365,0.511,11.08,0.762,4.18,-0.173,-0.072,-0.337,-1.272,-0.626,-0.372,0.6,-0.487,0.667
Morez Johnson,DAL,C/PF,179,-2.0973,163,-1.7107,59.9,24.8,11.801,4.503,2.739,0.848,0.501,1.368,1.398,0.47,9.15,0.782,2.34,-0.541,-0.348,-0.375,-0.414,-0.232,-0.346,-0.131,-0.13,0.419
Derrick Jones,LAC,PF/SF,180,-2.1015,179,-2.0648,62.3,24.9,9.799,3.405,1.175,0.896,0.709,1.057,0.847,0.504,7.41,0.74,1.72,-0.794,-0.739,-1.128,-0.17,0.302,-0.638,0.37,-0.391,1.086
Kingston Flemings,ATL,PG/SG,181,-2.1069,165,-1.724,60.0,24.7,11.783,4.496,2.735,0.847,0.5,1.366,1.396,0.47,9.14,0.782,2.33,-0.543,-0.35,-0.376,-0.417,-0.234,-0.347,-0.131,-0.13,0.421
Luke Kennard,PHX,PG/SF/SG,182,-2.1188,195,-2.7552,67.6,21.8,8.602,2.552,2.544,0.702,0.112,1.581,0.91,0.505,6.12,0.889,0.95,-0.869,-1.006,-0.31,-0.579,-1.083,0.106,0.342,0.382,0.898
Tim Hardaway,MIA,SF/SG,183,-2.1297,208,-3.1339,71.4,26.7,12.561,2.626,1.498,0.523,0.127,2.5,0.639,0.426,9.66,0.82,2.23,-0.047,-0.906,-0.849,-1.08,-1.027,1.4,-1.097,0.238,1.239
Kevin Huerter,DET,SF/SG,184,-2.1331,193,-2.5716,66.3,22.3,9.689,3.252,2.395,0.866,0.41,1.552,0.981,0.444,8.35,0.763,0.94,-0.71,-0.715,-0.419,-0.09,-0.341,0.032,-0.576,-0.136,0.822
Ajay Mitchell,OKC,PG/SG,185,-2.1411,147,-1.2082,56.3,22.5,11.449,2.999,3.025,1.053,0.275,0.964,1.199,0.493,8.63,0.863,2.3,-0.704,-1.031,-0.323,0.005,-0.782,-0.847,0.223,0.55,0.768
Fred VanVleet,HOU,PG,186,-2.1423,77,1.5234,43.9,33.8,14.28,3.752,5.674,1.39,0.516,2.537,1.501,0.394,12.36,0.823,2.44,-0.751,-1.059,0.329,0.089,-0.511,0.186,-1.411,0.183,0.803
Al Horford,GSW,C/PF,187,-2.1782,153,-1.4443,57.4,23.5,8.255,5.117,2.286,0.608,0.916,1.6,0.882,0.424,7.17,0.84,0.67,-1.151,-0.188,-0.648,-1.202,0.62,-0.168,-0.681,0.108,1.131
Jaime Jaquez,MIL,PF/SF/SG,188,-2.1879,198,-2.8195,67.7,24.2,12.276,4.408,3.584,0.729,0.256,0.712,1.647,0.502,9.65,0.774,2.43,-0.218,-0.155,0.275,-0.487,-0.714,-0.957,0.482,-0.239,-0.174
Tristan da Silva,ORL,PF/SF,189,-2.1893,206,-3.0505,69.9,23.3,9.056,3.57,1.626,0.738,0.305,1.383,0.85,0.447,7.44,0.873,1.16,-0.735,-0.486,-0.793,-0.379,-0.562,-0.08,-0.493,0.395,0.944
Jerami Grant,MEM,PF/SF,190,-2.2384,159,-1.6439,58.5,29.5,16.674,3.418,2.164,0.757,0.681,2.178,1.832,0.431,12.32,0.817,4.74,0.159,-0.821,-0.686,-0.736,0.138,0.476,-1.045,0.359,-0.082
Harrison Barnes,SAS,C/PF,191,-2.3223,214,-3.3442,71.5,25.1,10.266,2.98,1.696,0.569,0.165,1.697,0.726,0.469,7.54,0.812,1.84,-0.473,-0.733,-0.73,-0.916,-0.924,0.365,-0.144,0.129,1.104
Davion Mitchell,MIA,PG,192,-2.3362,201,-2.8976,67.4,26.6,8.627,2.497,5.349,0.89,0.181,1.192,1.484,0.48,7.02,0.675,1.03,-0.869,-1.035,1.252,0.04,-0.908,-0.375,0.027,-0.54,0.071
RJ Barrett,TOR,PF/SF/SG,193,-2.3369,174,-2.0232,60.7,30.5,19.443,5.545,3.887,0.744,0.339,1.702,2.049,0.487,14.73,0.695,4.86,0.692,0.102,0.218,-0.697,-0.592,0.039,0.264,-1.914,-0.449
Ziaire Williams,LAL,SF/SG,194,-2.3381,183,-2.1308,61.4,22.8,10.001,3.254,1.28,1.143,0.384,1.506,1.062,0.428,7.77,0.84,2.2,-0.786,-0.824,-1.084,0.538,-0.478,-0.157,-0.739,0.371,0.82
Precious Achiuwa,SAC,C/PF,195,-2.3883,202,-2.9558,67.3,22.1,8.819,6.113,1.309,0.817,0.688,0.365,0.882,0.519,7.2,0.586,1.66,-0.838,0.61,-1.005,-0.208,0.383,-1.384,0.619,-1.51,0.944
Herbert Jones,NOP,SF/SG,196,-2.4302,136,-0.8753,52.9,28.3,9.417,3.508,2.754,1.494,0.521,1.373,1.319,0.414,8.3,0.82,1.43,-1.087,-0.919,-0.528,0.975,-0.327,-0.516,-0.864,0.115,0.721
Zaccharie Risacher,DAL,SF,197,-2.5418,207,-3.0634,67.1,21.9,10.355,3.666,1.221,0.789,0.503,1.436,0.932,0.471,8.33,0.696,1.54,-0.575,-0.511,-1.056,-0.313,-0.093,-0.087,-0.119,-0.663,0.876
Jalen Green,PHX,SF/SG,198,-2.6086,172,-1.9044,57.8,27.9,18.145,4.139,3.052,0.88,0.302,2.356,2.125,0.432,15.18,0.797,3.34,0.351,-0.555,-0.273,-0.413,-0.709,0.636,-1.237,0.01,-0.418
Yves Missi,NOP,C,199,-2.6317,209,-3.1656,66.4,20.9,6.921,6.281,1.333,0.388,1.346,0.081,0.873,0.55,5.16,0.616,1.89,-1.189,0.645,-1.002,-1.651,2.01,-1.732,0.762,-1.451,0.974
Bez Mbeng,UTA,PG/SG,200,-2.6716,205,-3.0489,66.1,20.7,6.476,2.799,2.582,1.277,0.268,0.487,0.972,0.499,5.08,0.705,1.31,-1.271,-0.923,-0.322,1.24,-0.7,-1.247,0.218,-0.507,0.84
Jaylen Wells,MEM,SF/SG,201,-2.6961,215,-3.3447,68.4,25.0,11.496,3.258,1.67,0.753,0.139,1.757,0.961,0.441,9.09,0.8,2.14,-0.334,-0.665,-0.788,-0.381,-1.01,0.346,-0.704,0.033,0.807
Jordan Poole,NOP,PG/SG,202,-2.7417,173,-1.9878,57.2,24.9,15.282,2.447,3.464,0.852,0.361,2.54,2.105,0.411,12.28,0.869,3.03,-0.106,-1.227,-0.094,-0.519,-0.587,0.798,-1.446,0.805,-0.365
Bub Carrington,WAS,PG/SG,203,-2.7809,227,-3.8734,73.0,25.9,9.89,3.465,4.225,0.616,0.224,1.797,1.862,0.433,8.28,0.765,1.21,-0.504,-0.463,0.819,-0.705,-0.75,0.543,-0.846,-0.177,-0.697
Egor Dëmin,BKN,PG/SG,204,-2.8003,186,-2.18,58.0,24.3,10.473,3.32,3.256,0.813,0.363,2.265,1.524,0.423,8.36,0.83,1.37,-0.803,-0.872,-0.171,-0.597,-0.573,0.546,-0.825,0.171,0.322
Miles McBride,NYK,PG/SG,205,-2.81,175,-2.0252,57.0,24.7,10.592,2.503,2.607,0.912,0.244,2.154,0.733,0.425,8.87,0.805,1.12,-0.812,-1.209,-0.504,-0.359,-0.844,0.39,-0.824,0.033,1.322
De'Andre Hunter,SAC,PF/SF,206,-2.9032,188,-2.3446,58.2,26.1,14.519,3.992,1.769,0.716,0.194,1.908,1.458,0.443,11.04,0.853,3.33,-0.181,-0.602,-0.882,-0.867,-0.942,0.18,-0.701,0.693,0.397
Collin Murray-Boyles,TOR,C/PF,207,-3.0151,199,-2.8211,60.5,18.1,7.411,4.143,1.636,0.76,0.741,0.344,0.852,0.576,5.18,0.686,1.6,-1.218,-0.479,-0.915,-0.655,0.326,-1.453,0.952,-0.686,1.113
Alex Caruso,OKC,PF/SF,208,-3.1692,197,-2.7932,59.6,17.4,6.217,2.615,2.007,1.188,0.397,0.968,0.795,0.437,5.18,0.796,0.91,-1.421,-1.12,-0.744,0.571,-0.475,-0.786,-0.395,-0.001,1.201
Klay Thompson,MIA,PF/SF/SG,209,-3.2173,224,-3.7002,67.1,22.9,12.056,2.519,1.608,0.536,0.344,2.706,1.043,0.4,10.74,0.836,0.92,-0.277,-1.031,-0.841,-1.15,-0.497,1.454,-1.745,0.154,0.716
Sandro Mamukelashvili,LAL,C/PF,210,-3.2692,229,-3.9317,68.2,14.9,7.665,3.479,1.291,0.525,0.351,1.008,0.588,0.516,5.48,0.75,1.33,-1.022,-0.568,-1.004,-1.156,-0.462,-0.585,0.442,-0.271,1.357
Kentavious Caldwell-Pope,PHI,PG/SG,211,-3.2826,211,-3.2959,62.6,23.8,8.183,2.277,2.155,0.966,0.297,1.192,0.979,0.426,6.8,0.881,1.37,-1.05,-1.21,-0.617,0.06,-0.667,-0.479,-0.686,0.462,0.903
Dennis Schröder,CHA,PG/SG,212,-3.3338,228,-3.8822,67.8,24.7,11.105,2.632,4.72,0.765,0.17,1.253,1.721,0.408,9.35,0.83,2.68,-0.422,-0.967,0.915,-0.364,-0.932,-0.292,-1.378,0.392,-0.285
Noah Clowney,BKN,C/PF,213,-3.4088,210,-3.2582,61.0,23.8,10.777,3.916,1.437,0.664,0.592,1.767,1.255,0.407,8.35,0.813,2.71,-0.671,-0.557,-1.008,-0.922,-0.003,0.122,-1.115,0.17,0.574
Sam Merrill,CLE,SF/SG,214,-3.4163,216,-3.3556,61.7,20.5,9.084,2.207,1.816,0.576,0.152,2.188,0.612,0.441,6.97,0.862,0.88,-0.924,-1.253,-0.806,-1.167,-1.015,0.613,-0.496,0.225,1.407
AJ Green,MIL,SF/SG,215,-3.4285,238,-4.2112,70.0,23.6,8.461,2.402,1.616,0.456,0.109,2.326,0.744,0.43,6.48,0.839,0.67,-0.842,-1.037,-0.797,-1.347,-1.08,1.117,-0.67,0.127,1.1
Isaiah Collier,UTA,PG,216,-3.4562,222,-3.6016,63.8,23.8,10.122,2.805,6.257,0.987,0.295,0.539,2.328,0.483,7.81,0.726,2.8,-0.701,-0.963,1.573,0.185,-0.656,-1.206,0.084,-0.801,-0.971
Jay Huff,IND,C,217,-3.5052,243,-4.32,69.4,12.3,5.857,2.268,0.856,0.297,1.002,0.913,0.556,0.482,4.47,0.815,0.77,-1.326,-1.108,-1.242,-1.904,1.265,-0.683,0.042,0.062,1.389
Nique Clifford,SAC,SF/SG,218,-3.5503,239,-4.2381,69.5,24.5,8.79,3.786,2.395,0.895,0.332,1.045,1.474,0.431,7.83,0.737,1.36,-0.793,-0.394,-0.357,0.146,-0.498,-0.515,-0.796,-0.362,0.02
Jalen Smith,CHI,C/PF,219,-3.5543,218,-3.4323,60.6,15.8,8.182,5.162,1.053,0.342,0.614,1.144,0.723,0.491,6.07,0.761,1.41,-1.092,-0.056,-1.205,-1.9,0.039,-0.574,0.153,-0.195,1.277
Cormac Ryan,MIL,PG/SG,220,-3.56,204,-3.0186,57.4,17.9,9.749,2.397,1.542,0.692,0.261,1.489,1.083,0.503,6.7,0.87,1.74,-0.926,-1.243,-1.0,-0.961,-0.802,-0.281,0.302,0.468,0.883
Jordan Goodwin,PHX,SF/SG,221,-3.5685,232,-3.991,66.7,16.1,6.147,3.475,1.594,0.997,0.191,1.045,0.725,0.418,5.54,0.727,0.64,-1.317,-0.606,-0.854,0.36,-0.886,-0.568,-0.685,-0.191,1.179
Isaac Okoro,CHI,SF/SG,222,-3.6015,221,-3.5802,61.9,24.3,8.535,2.748,1.584,0.701,0.418,1.128,0.673,0.471,6.57,0.772,1.57,-1.008,-1.023,-0.922,-0.781,-0.39,-0.566,-0.083,-0.151,1.324
Marcus Smart,HOU,PG/SF/SG,223,-3.6433,203,-2.9972,57.3,24.8,8.892,2.557,2.828,1.232,0.328,1.425,1.459,0.399,7.37,0.802,1.97,-1.057,-1.182,-0.392,0.564,-0.658,-0.351,-1.027,0.037,0.422
Goga Bitadze,ORL,C,224,-3.7273,235,-4.1196,65.2,13.1,4.959,4.123,1.206,0.474,0.821,0.085,0.622,0.624,3.21,0.69,1.26,-1.544,-0.357,-1.084,-1.399,0.656,-1.728,0.944,-0.563,1.348
Jaylin Williams,OKC,C,225,-3.8231,225,-3.733,60.9,16.1,6.033,4.591,2.095,0.431,0.529,1.205,0.793,0.439,4.54,0.795,1.06,-1.428,-0.281,-0.677,-1.627,-0.149,-0.501,-0.333,-0.007,1.18
Sion James,CHA,SF/SG,226,-3.8565,247,-4.8465,73.0,21.3,5.63,3.429,1.961,0.625,0.252,0.996,0.784,0.395,4.57,0.835,1.23,-1.315,-0.481,-0.549,-0.673,-0.673,-0.514,-0.859,0.217,0.99
Pelle Larsson,MIA,SF/SG,227,-3.8616,233,-4.0763,64.0,22.1,9.347,2.978,2.668,0.658,0.212,0.811,1.112,0.491,6.63,0.786,2.57,-0.825,-0.884,-0.32,-0.843,-0.855,-0.89,0.176,-0.111,0.69
Will Riley,WAS,PF/SF/SG,228,-3.9315,245,-4.5865,69.0,20.1,9.727,2.792,1.896,0.689,0.154,1.005,1.119,0.457,7.56,0.809,2.23,-0.636,-0.871,-0.651,-0.576,-0.968,-0.575,-0.333,0.118,0.561
Kyle Kuzma,MIL,PF/SF,229,-3.9321,240,-4.2617,65.5,26.0,13.349,4.712,2.549,0.59,0.381,1.286,1.837,0.467,10.91,0.704,2.67,-0.104,-0.085,-0.351,-1.015,-0.423,-0.304,-0.252,-1.032,-0.365
Tre Johnson,WAS,PG/SG,230,-3.9736,230,-3.9743,62.0,21.9,11.431,2.812,1.973,0.545,0.3,1.744,1.351,0.439,9.6,0.86,1.46,-0.538,-0.995,-0.722,-1.255,-0.666,0.127,-0.714,0.369,0.422
Aday Mara,OKC,C,231,-4.0007,226,-3.7629,59.7,19.0,9.064,3.458,2.104,0.651,0.385,1.051,1.074,0.47,7.03,0.782,1.79,-0.975,-0.777,-0.694,-1.003,-0.5,-0.694,-0.1,-0.099,0.842
De'Anthony Melton,GSW,PG/SG,232,-4.007,177,-2.0457,48.1,22.1,11.355,3.218,2.481,1.382,0.392,1.458,1.625,0.411,9.82,0.814,2.24,-0.962,-1.127,-0.746,0.357,-0.655,-0.56,-0.975,0.121,0.541
Jaylon Tyson,CLE,PF/SF/SG,233,-4.0346,231,-3.9758,61.2,18.0,8.756,3.521,1.586,0.561,0.278,1.287,0.987,0.495,6.68,0.756,1.13,-0.988,-0.715,-0.93,-1.228,-0.726,-0.403,0.216,-0.181,0.92
Dru Smith,MIA,PG/SG,234,-4.0886,217,-3.3602,55.9,15.2,5.455,2.322,2.205,1.223,0.289,0.585,0.767,0.431,4.39,0.82,1.33,-1.591,-1.295,-0.713,0.454,-0.757,-1.237,-0.359,0.112,1.297
Taurean Prince,DET,PF/SF,235,-4.1655,219,-3.4367,55.6,24.0,8.195,3.152,1.739,0.745,0.246,1.798,1.021,0.45,6.56,0.806,0.61,-1.198,-0.988,-0.933,-0.878,-0.852,-0.02,-0.316,0.02,0.999
Scoot Henderson,POR,PG,236,-4.2507,213,-3.3038,54.1,25.0,13.124,2.966,4.344,0.916,0.258,1.635,2.412,0.429,10.49,0.811,3.07,-0.535,-1.089,0.21,-0.479,-0.841,-0.23,-0.862,0.154,-0.58
Robert Williams,POR,C,237,-4.2936,220,-3.4626,53.8,12.3,4.852,4.575,0.804,0.434,0.968,0.168,0.611,0.659,3.18,0.665,0.74,-1.706,-0.509,-1.376,-1.77,0.601,-1.666,0.956,-0.337,1.513
Patrick Williams,CHI,PF,238,-4.3725,246,-4.7446,66.2,22.2,8.031,3.348,1.68,0.73,0.435,1.386,1.143,0.398,7.23,0.738,1.22,-1.0,-0.674,-0.813,-0.537,-0.279,-0.169,-1.189,-0.304,0.594
Josh Dix,OKC,PG/SG,239,-4.3761,234,-4.1174,59.2,18.0,8.591,3.278,1.994,0.617,0.365,0.996,1.018,0.47,6.66,0.782,1.7,-1.06,-0.862,-0.757,-1.119,-0.552,-0.763,-0.094,-0.093,0.925
Dylan Cardwell,SAC,C/PF,240,-4.4737,223,-3.6687,54.0,15.3,4.615,5.259,1.168,0.52,1.021,0.162,0.682,0.565,3.44,0.583,0.96,-1.737,-0.254,-1.212,-1.537,0.717,-1.67,0.5,-0.708,1.427
Bennett Stirtz,OKC,PG/SG,241,-4.5359,241,-4.2773,59.0,17.6,8.378,3.196,1.945,0.602,0.356,0.971,0.993,0.47,6.5,0.782,1.66,-1.097,-0.898,-0.784,-1.169,-0.575,-0.792,-0.092,-0.091,0.96
Khris Middleton,WAS,PF/SF,242,-4.6095,242,-4.3073,58.7,21.2,9.888,3.419,2.919,0.667,0.173,1.063,1.572,0.436,8.18,0.857,1.97,-0.872,-0.816,-0.315,-0.99,-0.985,-0.7,-0.618,0.448,0.237
Jamal Shead,TOR,PG/SG,243,-4.6443,249,-5.4308,71.6,17.8,5.864,1.526,4.083,0.729,0.154,0.851,1.147,0.394,5.28,0.786,1.09,-1.292,-1.435,0.686,-0.347,-0.953,-0.727,-0.98,-0.052,0.456
Matisse Thybulle,LAL,SF/SG,244,-4.7548,189,-2.4026,44.0,15.5,5.408,2.024,1.093,1.482,0.471,1.027,0.744,0.44,4.3,0.762,0.78,-1.766,-1.571,-1.336,0.296,-0.585,-1.011,-0.221,-0.076,1.515
Grant Williams,CHA,PF,245,-5.0867,212,-3.2987,46.0,22.4,8.324,4.066,1.862,0.595,0.525,1.46,1.098,0.444,6.19,0.803,1.7,-1.387,-0.908,-1.024,-1.571,-0.454,-0.613,-0.296,0.033,1.133
D'Angelo Russell,MEM,PG/SG,246,-5.2453,236,-4.186,51.3,21.3,10.96,2.475,4.102,0.668,0.268,1.594,1.63,0.414,9.31,0.788,2.11,-0.921,-1.316,0.007,-1.234,-0.85,-0.35,-0.948,-0.058,0.425
Nolan Traore,BKN,PG,247,-5.3697,248,-5.2335,60.0,21.4,9.087,2.029,3.634,0.798,0.414,1.102,2.04,0.406,8.16,0.797,1.71,-0.965,-1.351,0.07,-0.562,-0.431,-0.634,-1.094,0.003,-0.407
Bogdan Bogdanović,HOU,PG/SF/SG,248,-5.4985,244,-4.32,49.6,21.2,9.433,2.645,2.267,0.641,0.201,1.663,1.163,0.416,8.05,0.853,1.25,-1.167,-1.287,-0.803,-1.354,-0.993,-0.337,-0.76,0.222,0.98
Lonnie Walker,DEN,PF/SF/SG,249,-5.5338,250,-5.7079,63.2,15.0,7.782,2.179,1.463,0.415,0.244,1.286,0.785,0.435,6.52,0.785,1.04,-1.104,-1.243,-0.969,-1.63,-0.787,-0.36,-0.545,-0.048,1.153
Max Strus,LAC,PF/SF,250,-5.7836,237,-4.1945,45.5,20.0,8.034,3.538,2.293,0.438,0.194,1.723,0.876,0.438,6.5,0.796,0.78,-1.434,-1.086,-0.871,-1.939,-1.036,-0.412,-0.366,-0.002,1.363
