player,team,pos,rank,value,rank_avg,value_avg,gp,mpg,pts,reb,ast,stl,blk,tpm,tov,fg_pct,fga,ft_pct,fta,z_pts,z_reb,z_ast,z_stl,z_blk,z_tpm,z_fgpct,z_ftpct,z_tov
Deni Avdija,POR,PF/SF/SG,74,1.6089,79,1.5001,64,31.0,22.267,7.45,5.669,0.903,0.6,1.905,3.341,0.475,14.97,0.797,7.69,1.332,1.051,1.269,-0.071,0.083,0.376,-0.078,0.014,-2.369
Brandon Ingram,TOR,PF/SF/SG,75,1.4373,60,2.3335,58.9,33.9,24.844,5.909,4.631,0.838,0.739,2.074,2.714,0.476,19.46,0.818,5.2,1.429,0.179,0.522,-0.488,0.276,0.379,-0.072,0.421,-1.209
Rudy Gobert,MIN,C,76,1.3501,102,0.301,69.2,31.3,11.246,10.802,1.681,0.743,1.529,0.068,1.364,0.657,6.79,0.581,3.88,-0.357,2.882,-0.771,-0.385,2.634,-1.744,2.596,-3.699,0.193
Myles Turner,MIL,C,77,1.1934,99,0.3878,67.7,26.0,12.567,5.402,1.428,0.658,1.581,1.87,1.279,0.462,9.37,0.756,2.69,-0.168,0.299,-0.934,-0.726,2.68,0.46,-0.304,-0.474,0.361
Coby White,CHA,PG/SG,78,1.1095,82,1.4212,61.7,29.6,23.374,4.021,5.03,0.75,0.197,3.196,2.53,0.454,17.16,0.849,5.41,1.377,-0.496,0.835,-0.638,-0.91,1.738,-0.782,1.116,-1.132
Miles Bridges,PHX,PF,79,1.0582,104,0.2676,67.9,31.1,17.783,6.265,3.323,0.659,0.509,1.976,1.614,0.452,14.4,0.835,3.35,0.765,0.704,0.134,-0.714,-0.062,0.598,-0.791,0.558,-0.134
Domantas Sabonis,SAC,C/PF,80,0.9339,32,3.5031,51.5,31.5,17.991,13.59,6.212,0.821,0.389,0.715,2.854,0.569,12.46,0.736,4.2,0.032,2.562,0.915,-0.837,-0.611,-1.163,1.812,-0.84,-0.937
Nikola Vučević,ORL,C,81,0.9226,97,0.4533,65.8,29.6,10.969,8.757,2.263,0.685,0.659,1.065,1.008,0.496,9.03,0.811,1.16,-0.505,1.721,-0.502,-0.701,0.271,-0.562,0.335,0.071,0.795
DeMar DeRozan,DEN,PF/SF/SG,82,0.8717,110,0.0389,68,28.0,16.514,2.63,3.677,0.931,0.268,0.547,1.117,0.497,11.7,0.868,5.02,0.543,-0.964,0.336,0.201,-0.681,-1.156,0.457,1.548,0.588
Toumani Camara,POR,PF/SF/SG,83,0.8076,128,-0.5292,72.2,31.3,12.082,5.187,2.273,1.186,0.487,2.16,1.545,0.45,9.7,0.724,1.64,-0.111,0.359,-0.375,1.302,-0.039,0.991,-0.595,-0.551,-0.175
Mark Williams,PHX,C,84,0.7654,78,1.5129,58.8,23.2,12.381,7.905,1.442,0.851,0.95,0.11,1.171,0.625,7.92,0.785,3.01,-0.486,0.972,-1.031,-0.453,0.747,-1.713,2.124,-0.135,0.74
Joan Beringer,MIN,C,85,0.736,126,-0.4614,70,20.0,10.165,5.268,1.313,0.552,1.265,0.396,0.823,0.606,6.68,0.741,2.25,-0.53,0.32,-0.973,-1.015,1.981,-1.328,1.857,-0.558,0.981
Kevin Porter,MIL,PG/SG,86,0.7275,71,1.8252,57.9,27.5,14.919,4.726,5.705,1.696,0.371,1.096,2.373,0.464,11.84,0.839,3.39,-0.131,-0.322,1.002,1.925,-0.556,-0.68,-0.303,0.524,-0.732
Donte DiVincenzo,MIN,SF/SG,87,0.6779,114,-0.1788,69.0,28.2,12.025,3.859,3.496,1.195,0.378,2.822,1.428,0.416,9.94,0.753,1.25,-0.22,-0.372,0.264,1.147,-0.382,1.695,-1.319,-0.238,0.103
Cason Wallace,OKC,PG/SF/SG,88,0.672,113,-0.1496,68.7,25.0,8.313,3.081,2.418,1.605,0.41,1.217,0.847,0.461,6.99,0.811,0.8,-0.897,-0.742,-0.359,2.516,-0.304,-0.316,-0.247,0.051,0.969
Paul Reed,DET,C/PF,89,0.6653,124,-0.447,70,17.5,9.122,5.48,1.646,1.061,0.999,0.343,1.063,0.577,6.46,0.695,1.92,-0.721,0.421,-0.78,0.74,1.277,-1.395,1.378,-0.877,0.622
Tyler Herro,MIL,PG/SG,90,0.6602,73,1.8248,57.1,30.5,20.03,4.671,4.373,0.75,0.268,2.647,2.033,0.476,15.13,0.887,3.35,0.6,-0.368,0.334,-0.809,-0.79,0.907,-0.043,1.104,-0.274
Jabari Smith,HOU,PF,91,0.6591,108,0.0925,66.5,31.5,14.195,6.724,1.647,0.643,0.817,2.005,1.193,0.461,11.1,0.794,2.47,0.076,0.851,-0.827,-0.812,0.688,0.583,-0.388,-0.026,0.515
Andrew Wiggins,MIA,PF/SF/SG,92,0.6,96,0.4638,64.1,29.8,15.533,4.671,2.554,1.013,0.889,1.941,1.524,0.462,12.3,0.771,2.89,0.212,-0.148,-0.378,0.282,0.789,0.421,-0.39,-0.309,0.122
Ivica Zubac,IND,C,93,0.5969,93,0.6228,62.5,29.1,14.088,10.071,2.223,0.496,0.925,0.083,1.561,0.607,9.97,0.696,2.74,-0.09,2.083,-0.584,-1.394,0.819,-1.735,2.48,-1.108,0.125
Brandin Podziemski,GSW,PG/SG,94,0.4949,125,-0.4486,69.4,27.3,12.823,5.152,3.606,1.044,0.205,1.771,1.396,0.463,9.9,0.79,2.37,-0.064,0.246,0.338,0.653,-0.83,0.395,-0.313,-0.069,0.138
Immanuel Quickley,TOR,PG/SG,95,0.4308,88,1.1302,59.7,29.9,16.028,3.893,5.493,1.106,0.113,2.428,1.467,0.442,12.49,0.833,3.08,0.11,-0.602,0.98,0.333,-1.114,0.793,-0.839,0.431,0.339
Jalen Suggs,ORL,PG,96,0.3901,72,1.8249,56.1,27.2,13.967,3.838,4.588,1.645,0.724,2.082,2.447,0.441,11.29,0.848,2.28,-0.341,-0.716,0.399,1.634,0.169,0.285,-0.726,0.415,-0.73
Paul George,BOS,PF/SF/SG,97,0.3487,46,2.9743,51.3,31.5,18.012,5.299,3.75,1.669,0.469,2.675,2.07,0.436,14.68,0.831,3.04,0.023,-0.336,-0.143,1.299,-0.459,0.651,-0.965,0.337,-0.059
Ausar Thompson,DET,SF/SG,98,0.2758,112,-0.0577,65.7,23.9,9.63,5.465,2.709,1.727,0.831,0.191,1.362,0.53,7.52,0.614,2.39,-0.737,0.254,-0.261,2.673,0.695,-1.602,0.79,-1.834,0.299
Brook Lopez,LAC,C,99,0.1286,139,-1.0351,70.5,24.8,9.767,3.997,1.453,0.585,1.367,1.518,0.912,0.455,7.97,0.787,1.27,-0.591,-0.269,-0.886,-0.887,2.275,0.106,-0.4,-0.058,0.838
Franz Wagner,ORL,PF/SF,100,0.1182,70,1.8923,54.1,30.7,20.866,5.31,3.817,1.053,0.355,1.498,1.864,0.479,15.77,0.846,5.05,0.559,-0.231,-0.024,-0.111,-0.644,-0.363,0.02,0.858,0.054
Devin Vassell,SAS,SF/SG,101,0.0701,115,-0.1794,64.9,29.2,14.421,3.862,2.658,0.962,0.401,2.32,1.064,0.449,11.72,0.808,1.96,0.055,-0.479,-0.306,0.156,-0.385,0.894,-0.69,0.09,0.736
Cameron Johnson,DEN,PF/SF/SG,102,0.0632,92,0.6861,59.6,31.5,14.778,4.228,2.842,0.846,0.414,2.334,1.227,0.472,10.71,0.855,2.72,-0.09,-0.47,-0.333,-0.436,-0.435,0.686,-0.112,0.602,0.65
Tobias Harris,SAS,PF,103,0.0552,121,-0.3178,65.4,27.7,12.889,5.096,2.313,0.901,0.517,1.209,1.062,0.469,10.31,0.859,2.34,-0.188,0.08,-0.482,-0.018,-0.089,-0.399,-0.185,0.608,0.728
Day'Ron Sharpe,BKN,C,104,0.0158,135,-0.7407,68,22.0,8.712,7.777,2.191,1.123,0.667,0.239,1.508,0.573,6.05,0.699,2.19,-0.841,1.403,-0.501,0.845,0.346,-1.535,1.214,-0.933,0.017
Kyrie Irving,DAL,PG/SG,105,-0.0196,16,5.3012,41.8,34.2,23.5,4.75,4.6,1.2,0.46,2.75,2.0,0.48,17.8,0.901,4.05,0.178,-0.83,-0.141,-0.446,-0.641,0.252,0.055,1.131,0.423
John Collins,DET,C/PF,106,-0.036,101,0.3169,60.8,27.1,14.294,5.999,1.291,0.839,0.772,1.297,1.58,0.538,10.16,0.793,2.58,-0.12,0.292,-1.085,-0.406,0.407,-0.403,1.156,-0.035,0.158
Christian Braun,DEN,SF/SG,107,-0.0618,103,0.2852,60.9,32.0,13.386,5.066,2.678,0.863,0.404,1.092,1.015,0.543,9.49,0.798,2.49,-0.261,-0.088,-0.385,-0.332,-0.438,-0.626,1.166,0.009,0.892
Maxime Raynaud,SAC,C,108,-0.089,140,-1.0574,69.0,25.9,12.404,7.258,1.467,0.542,0.524,0.411,1.232,0.572,8.91,0.792,2.26,-0.154,1.213,-0.896,-1.076,-0.001,-1.316,1.793,-0.045,0.395
Keyonte George,UTA,PG/SG,109,-0.1018,106,0.1653,61.5,29.6,18.839,3.533,5.389,0.84,0.209,2.308,2.576,0.443,13.56,0.873,5.16,0.639,-0.703,1.011,-0.373,-0.883,0.74,-0.893,1.543,-1.182
Darryn Peterson,UTA,PG/SG,110,-0.1638,111,-0.0325,62.4,29.5,14.04,5.357,3.259,1.009,0.596,1.628,1.664,0.47,10.89,0.782,2.78,-0.1,0.088,-0.05,0.185,0.039,0.009,-0.162,-0.161,-0.01
Julian Champagnie,SAS,PF/SF/SG,111,-0.1693,155,-1.5675,73.0,24.2,9.97,4.7,1.467,0.715,0.443,2.086,0.827,0.437,7.63,0.854,1.43,-0.488,0.146,-0.848,-0.35,-0.146,0.924,-0.713,0.381,0.923
Paolo Banchero,ORL,PF,112,-0.3525,120,-0.2838,62.9,33.9,22.682,7.922,5.046,0.762,0.574,1.379,2.883,0.467,16.41,0.767,7.78,1.334,1.195,0.892,-0.558,-0.003,-0.261,-0.339,-0.942,-1.669
AJ Dybantsa,WAS,PF/SF,113,-0.3546,116,-0.2136,62.3,29.0,13.798,5.264,3.203,0.992,0.586,1.6,1.635,0.47,10.7,0.782,2.73,-0.144,0.045,-0.082,0.126,0.012,-0.026,-0.159,-0.158,0.032
Nic Claxton,CHI,C/PF,114,-0.3785,138,-0.967,66.7,27.3,11.294,7.17,3.039,0.725,1.254,0.121,1.324,0.57,8.3,0.597,2.87,-0.422,1.06,-0.057,-0.537,1.796,-1.684,1.581,-2.441,0.324
Wendell Carter,ORL,C,115,-0.3904,151,-1.2829,69.0,27.3,10.841,7.044,1.961,0.75,0.596,0.848,1.214,0.5,7.77,0.774,2.88,-0.435,1.114,-0.614,-0.37,0.186,-0.77,0.361,-0.283,0.42
